speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 52.8081944504211}, {'v2': 50.8649555820431}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-1.9087050397193097,1.5999999999999999,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 48.389254815299594}, {'v2': 50.0}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': ['FL']}, {'v2': ['F']}]","[{'v1': ['FL']}, {'v2': ['F']}]",1,1.5,1.5999999999999999,,"[{'v1': [{'name': 'FL', 'damage': 0.08533333333333333}]}, {'v2': [{'name': 'F', 'damage': 0.2318840579710145}]}]","{'v1': [{'name': 'FL', 'damage': 0.08533333333333333}], 'v2': [{'name': 'F', 'damage': 0.2318840579710145}]}"
"[{'v1': 48.389254815299594}, {'v2': 33.2794434512936}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': []}, {'v2': ['F', 'FR', 'M', 'FR', 'F']}]","[{'v1': []}, {'v2': ['FR', 'F']}]",1,1.3,1.5999999999999999,,"[{'v1': []}, {'v2': [{'name': 'F', 'damage': 0.0380952380952381}, {'name': 'FR', 'damage': 0.8}, {'name': 'M', 'damage': 0.011079524746701654}, {'name': 'FR', 'damage': 0.028368794326241134}, {'name': 'F', 'damage': 1}]}]","{'v1': [], 'v2': [{'name': 'FR', 'damage': 0.8}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 47.27545246270755}, {'v2': 50.0}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': ['FL']}, {'v2': []}]","[{'v1': ['FL']}, {'v2': []}]",1,1.3,1.5999999999999999,,"[{'v1': [{'name': 'FL', 'damage': 0.064}]}, {'v2': []}]","{'v1': [{'name': 'FL', 'damage': 0.064}], 'v2': []}"
"[{'v1': 48.389254815299594}, {'v2': 50.0}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': ['FL']}, {'v2': []}]","[{'v1': ['FL']}, {'v2': []}]",1,1.3,1.5999999999999999,,"[{'v1': [{'name': 'FL', 'damage': 0.07466666666666667}]}, {'v2': []}]","{'v1': [{'name': 'FL', 'damage': 0.07466666666666667}], 'v2': []}"
"[{'v1': 50.0}, {'v2': 50.0}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': ['FL']}, {'v2': []}]","[{'v1': ['FL']}, {'v2': []}]",1,1.3,1.5999999999999999,,"[{'v1': [{'name': 'FL', 'damage': 0.064}]}, {'v2': []}]","{'v1': [{'name': 'FL', 'damage': 0.064}], 'v2': []}"
"[{'v1': 48.389254815299594}, {'v2': 50.0}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': ['FL']}, {'v2': []}]","[{'v1': ['FL']}, {'v2': []}]",1,1.3,1.5999999999999999,,"[{'v1': [{'name': 'FL', 'damage': 0.032}]}, {'v2': []}]","{'v1': [{'name': 'FL', 'damage': 0.032}], 'v2': []}"
"[{'v1': 41.19581911593283}, {'v2': 50.0}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': ['FL', 'FL']}, {'v2': []}]","[{'v1': ['FL', 'FL']}, {'v2': []}]",1,1.3,1.5999999999999999,,"[{'v1': [{'name': 'FL', 'damage': 0.021505376344086023}, {'name': 'FL', 'damage': 0.032}]}, {'v2': []}]","{'v1': [{'name': 'FL', 'damage': 0.021505376344086023}, {'name': 'FL', 'damage': 0.032}], 'v2': []}"
"[{'v1': 48.389254815299594}, {'v2': 45.72011642000336}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': ['FL']}, {'v2': ['F']}]","[{'v1': ['FL']}, {'v2': ['F']}]",1,1.5,1.5999999999999999,,"[{'v1': [{'name': 'FL', 'damage': 0.11733333333333333}]}, {'v2': [{'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'FL', 'damage': 0.11733333333333333}], 'v2': [{'name': 'F', 'damage': 1}]}"
"[{'v1': 48.389254815299594}, {'v2': 48.114238809344904}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-1.9534057548935184,1.5999999999999999,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 48.389254815299594}, {'v2': 50.0}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': ['FL']}, {'v2': []}]","[{'v1': ['FL']}, {'v2': []}]",1,1.3,1.5999999999999999,,"[{'v1': [{'name': 'FL', 'damage': 0.05333333333333334}]}, {'v2': []}]","{'v1': [{'name': 'FL', 'damage': 0.05333333333333334}], 'v2': []}"
"[{'v1': 48.389254815299594}, {'v2': 50.0}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': ['FL']}, {'v2': ['F']}]","[{'v1': ['FL']}, {'v2': ['F']}]",1,1.5,1.5999999999999999,,"[{'v1': [{'name': 'FL', 'damage': 0.042666666666666665}]}, {'v2': [{'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'FL', 'damage': 0.042666666666666665}], 'v2': [{'name': 'F', 'damage': 1}]}"
"[{'v1': 48.389254815299594}, {'v2': 50.0}]","[{'v1': [78.792451709537, 11.137805972312776, 0]}, {'v2': [78.71719626377813, 8.654376262270063, 0]}]","[{'v1': ['FL']}, {'v2': ['FR']}]","[{'v1': ['FL']}, {'v2': ['FR']}]",1,1.5999999999999999,1.5999999999999999,,"[{'v1': [{'name': 'FL', 'damage': 0.07466666666666667}]}, {'v2': [{'name': 'FR', 'damage': 0.010666666666666666}]}]","{'v1': [{'name': 'FL', 'damage': 0.07466666666666667}], 'v2': [{'name': 'FR', 'damage': 0.010666666666666666}]}"
