speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 52.87834980396255}, {'v2': 23.19443380480807}]","[{'v1': [22.856094581209938, 4.541916230881462, 0]}, {'v2': [19.706055904953438, 22.92935129461125, 0]}]","[{'v1': ['F', 'FR', 'M', 'F', 'FR', 'F', 'F']}, {'v2': ['M', 'B', 'B', 'ML', 'B']}]","[{'v1': ['FR', 'F', 'F']}, {'v2': ['B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.5523809523809524}, {'name': 'FR', 'damage': 0.2986666666666667}, {'name': 'M', 'damage': 0.008455426780377579}, {'name': 'F', 'damage': 0.05426356589147287}, {'name': 'FR', 'damage': 0.14184397163120568}, {'name': 'F', 'damage': 0.00903954802259887}, {'name': 'F', 'damage': 0.6064659977703456}]}, {'v2': [{'name': 'M', 'damage': 0.0011662657628107006}, {'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.2222222222222222}, {'name': 'ML', 'damage': 0.05555555555555555}, {'name': 'B', 'damage': 0.3372859025032938}]}]","{'v1': [{'name': 'FR', 'damage': 0.2986666666666667}, {'name': 'F', 'damage': 0.5523809523809524}, {'name': 'F', 'damage': 0.6064659977703456}], 'v2': [{'name': 'B', 'damage': 0.2222222222222222}, {'name': 'B', 'damage': 0.3372859025032938}]}"
"[{'v1': 52.87834980396255}, {'v2': 26.2721074768538}]","[{'v1': [21.50860274284952, 4.600218923783868]}, {'v2': [19.028351258273236, 22.95867392556831]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-4.093913532033275,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 50.0}, {'v2': 23.19443380480807}]","[{'v1': [24.29946747806008, 4.4794649978921015]}, {'v2': [19.885383045147975, 22.92159224562395]}]","[{'v1': ['F', 'M', 'F', 'FR', 'F']}, {'v2': ['B', 'MR', 'B', 'M']}]","[{'v1': ['FR', 'F', 'F']}, {'v2': ['B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'M', 'damage': 0.005539762373350827}, {'name': 'F', 'damage': 0.20155038759689922}, {'name': 'FR', 'damage': 0.5673758865248227}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.1688888888888889}, {'name': 'MR', 'damage': 0.08333333333333333}, {'name': 'B', 'damage': 0.3847167325428195}, {'name': 'M', 'damage': 0.0020409650849187258}]}]","{'v1': [{'name': 'FR', 'damage': 0.5673758865248227}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.1688888888888889}, {'name': 'B', 'damage': 0.3847167325428195}]}"
"[{'v1': 52.87834980396255}, {'v2': 23.19443380480807}]","[{'v1': [22.856094581209938, 4.541916230881462, 0]}, {'v2': [19.706055904953438, 22.92935129461125, 0]}]","[{'v1': ['F', 'FR', 'M', 'F', 'FR', 'F', 'F']}, {'v2': ['B', 'B', 'B', 'M']}]","[{'v1': ['FR', 'F', 'F']}, {'v2': ['B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.6095238095238096}, {'name': 'FR', 'damage': 0.10666666666666667}, {'name': 'M', 'damage': 0.007872293898972229}, {'name': 'F', 'damage': 0.05426356589147287}, {'name': 'FR', 'damage': 0.3120567375886525}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'F', 'damage': 0.6109253065774805}]}, {'v2': [{'name': 'B', 'damage': 0.013008130081300813}, {'name': 'B', 'damage': 0.27931488801054016}, {'name': 'B', 'damage': 0.19555555555555557}, {'name': 'M', 'damage': 0.0020409650849187258}]}]","{'v1': [{'name': 'FR', 'damage': 0.3120567375886525}, {'name': 'F', 'damage': 0.6095238095238096}, {'name': 'F', 'damage': 0.6109253065774805}], 'v2': [{'name': 'B', 'damage': 0.19555555555555557}, {'name': 'B', 'damage': 0.27931488801054016}]}"
"[{'v1': 50.0}, {'v2': 23.19443380480807}]","[{'v1': [24.329136755671197, 4.47818128044615]}, {'v2': [19.706055904953438, 22.92935129461125, 0]}]","[{'v1': ['F', 'F', 'M', 'F', 'FR', 'F']}, {'v2': ['MR', 'M', 'B', 'B', 'B']}]","[{'v1': ['F', 'F', 'F', 'F']}, {'v2': ['B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.08333333333333333}, {'name': 'M', 'damage': 0.006122895254756178}, {'name': 'F', 'damage': 0.10852713178294573}, {'name': 'FR', 'damage': 0.028368794326241134}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'MR', 'damage': 0.05555555555555555}, {'name': 'M', 'damage': 0.006414461695458853}, {'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.2222222222222222}, {'name': 'B', 'damage': 0.45322793148880103}]}]","{'v1': [{'name': 'F', 'damage': 0.08333333333333333}, {'name': 'F', 'damage': 0.10852713178294573}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.2222222222222222}, {'name': 'B', 'damage': 0.45322793148880103}]}"
"[{'v1': 52.87834980396255}, {'v2': 23.19443380480807}]","[{'v1': [23.086242777366532, 4.53195827846901]}, {'v2': [19.706055904953438, 22.92935129461125, 0]}]","[{'v1': ['F', 'FR', 'M', 'F', 'FR', 'F', 'F']}, {'v2': ['B', 'B', 'B', 'M']}]","[{'v1': ['F', 'FR', 'F']}, {'v2': ['B', 'B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.8380952380952381}, {'name': 'FR', 'damage': 0.08533333333333333}, {'name': 'M', 'damage': 0.006997594576864203}, {'name': 'F', 'damage': 0.046511627906976744}, {'name': 'FR', 'damage': 0.9645390070921985}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.026016260162601626}, {'name': 'B', 'damage': 0.2845849802371542}, {'name': 'B', 'damage': 0.035555555555555556}, {'name': 'M', 'damage': 0.0020409650849187258}]}]","{'v1': [{'name': 'F', 'damage': 0.8380952380952381}, {'name': 'FR', 'damage': 0.9645390070921985}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.026016260162601626}, {'name': 'B', 'damage': 0.035555555555555556}, {'name': 'B', 'damage': 0.2845849802371542}]}"
"[{'v1': 52.87834980396255}, {'v2': 12.975656174525438}]","[{'v1': [22.856094581209938, 4.541916230881462, 0]}, {'v2': [19.636810523834, 22.932347373752798]}]","[{'v1': ['F', 'FL', 'FL', 'M', 'F', 'F']}, {'v2': ['FR', 'M', 'B', 'B', 'MR']}]","[{'v1': ['F', 'FL', 'FL', 'F']}, {'v2': ['B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.19047619047619047}, {'name': 'FL', 'damage': 0.39466666666666667}, {'name': 'FL', 'damage': 0.28368794326241137}, {'name': 'M', 'damage': 0.007580727458269553}, {'name': 'F', 'damage': 0.022598870056497175}, {'name': 'F', 'damage': 0.35674470457079155}]}, {'v2': [{'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'M', 'damage': 0.005248195932648152}, {'name': 'B', 'damage': 0.044444444444444446}, {'name': 'B', 'damage': 0.30566534914361}, {'name': 'MR', 'damage': 0.0058997050147492625}]}]","{'v1': [{'name': 'F', 'damage': 0.19047619047619047}, {'name': 'FL', 'damage': 0.28368794326241137}, {'name': 'FL', 'damage': 0.39466666666666667}, {'name': 'F', 'damage': 0.35674470457079155}], 'v2': [{'name': 'B', 'damage': 0.044444444444444446}, {'name': 'B', 'damage': 0.30566534914361}]}"
"[{'v1': 52.87834980396255}, {'v2': 23.19443380480807}]","[{'v1': [22.856094581209938, 4.541916230881462, 0]}, {'v2': [19.706055904953438, 22.92935129461125, 0]}]","[{'v1': ['F', 'FR', 'M', 'F', 'FR', 'F', 'F']}, {'v2': ['M', 'B', 'B', 'ML', 'B']}]","[{'v1': ['FR', 'FR', 'F', 'F']}, {'v2': ['B', 'ML', 'B']}]",1,1.4,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.5333333333333333}, {'name': 'FR', 'damage': 0.256}, {'name': 'M', 'damage': 0.006122895254756178}, {'name': 'F', 'damage': 0.05426356589147287}, {'name': 'FR', 'damage': 0.14184397163120568}, {'name': 'F', 'damage': 0.00903954802259887}, {'name': 'F', 'damage': 0.5306577480490524}]}, {'v2': [{'name': 'M', 'damage': 0.0008746993221080254}, {'name': 'B', 'damage': 0.013008130081300813}, {'name': 'B', 'damage': 0.1511111111111111}, {'name': 'ML', 'damage': 1}, {'name': 'B', 'damage': 1}]}]","{'v1': [{'name': 'FR', 'damage': 0.256}, {'name': 'FR', 'damage': 0.14184397163120568}, {'name': 'F', 'damage': 0.5333333333333333}, {'name': 'F', 'damage': 0.5306577480490524}], 'v2': [{'name': 'B', 'damage': 0.1511111111111111}, {'name': 'ML', 'damage': 1}, {'name': 'B', 'damage': 1}]}"
"[{'v1': 24.315676180077418}, {'v2': 23.19443380480807}]","[{'v1': [22.856094581209938, 4.541916230881462, 0]}, {'v2': [20.526420984799362, 22.89385609385641]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.1453178365044465,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 20.17356463219027}, {'v2': 23.19443380480807}]","[{'v1': [21.692505567555266, 4.592261896062088]}, {'v2': [19.706055904953438, 22.92935129461125, 0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-6.5572097348148874,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
