speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 52.87834980396255}, {'v2': 23.19443380480807}]","[{'v1': [22.856094581209938, 4.541916230881462, 0]}, {'v2': [19.706055904953438, 22.92935129461125, 0]}]","[{'v1': ['F', 'FR', 'M', 'F', 'FR', 'F', 'F']}, {'v2': ['M', 'B', 'B', 'ML', 'B']}]","[{'v1': ['FR', 'FR', 'F', 'F']}, {'v2': ['B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.6666666666666666}, {'name': 'FR', 'damage': 0.26666666666666666}, {'name': 'M', 'damage': 0.007580727458269553}, {'name': 'F', 'damage': 0.08527131782945736}, {'name': 'FR', 'damage': 0.3120567375886525}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'M', 'damage': 0.0017493986442160508}, {'name': 'B', 'damage': 0.01951219512195122}, {'name': 'B', 'damage': 0.19555555555555557}, {'name': 'ML', 'damage': 0.05555555555555555}, {'name': 'B', 'damage': 0.310935441370224}]}]","{'v1': [{'name': 'FR', 'damage': 0.26666666666666666}, {'name': 'FR', 'damage': 0.3120567375886525}, {'name': 'F', 'damage': 0.6666666666666666}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.19555555555555557}, {'name': 'B', 'damage': 0.310935441370224}]}"
"[{'v1': 11.0}, {'v2': 18.0}]","[{'v1': [22.856094581209938, 4.541916230881462]}, {'v2': [21.70418644705638, 22.84289704824128]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.207809657248028,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 24.0}, {'v2': 38.0}]","[{'v1': [19.858898768055525, 4.671597600436428]}, {'v2': [19.706055904953438, 22.92935129461125]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-14.59482574982608,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 45.0}, {'v2': 18.0}]","[{'v1': [19.858898768055525, 4.671597600436422]}, {'v2': [17.707925362850492, 23.015805540981187]}]","[{'v1': ['F', 'FR', 'M', 'F', 'FR', 'F']}, {'v2': ['B', 'B', 'B', 'M']}]","[{'v1': ['FR', 'F', 'F']}, {'v2': ['B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.5142857142857142}, {'name': 'FR', 'damage': 0.032}, {'name': 'M', 'damage': 0.004956629491945477}, {'name': 'F', 'damage': 0.031007751937984496}, {'name': 'FR', 'damage': 0.1702127659574468}, {'name': 'F', 'damage': 0.5039018952062431}]}, {'v2': [{'name': 'B', 'damage': 0.013008130081300813}, {'name': 'B', 'damage': 0.24769433465085638}, {'name': 'B', 'damage': 0.05333333333333334}, {'name': 'M', 'damage': 0.0008746993221080254}]}]","{'v1': [{'name': 'FR', 'damage': 0.1702127659574468}, {'name': 'F', 'damage': 0.5142857142857142}, {'name': 'F', 'damage': 0.5039018952062431}], 'v2': [{'name': 'B', 'damage': 0.05333333333333334}, {'name': 'B', 'damage': 0.24769433465085638}]}"
"[{'v1': 41.0}, {'v2': 25.0}]","[{'v1': [17.860768225952583, 4.758051846806407]}, {'v2': [21.70418644705638, 22.842897048241277]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.087278908435142,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 12.0}, {'v2': 29.0}]","[{'v1': [17.860768225952583, 4.758051846806404]}, {'v2': [20.70512117600491, 22.886124171426264]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-14.176644204960706,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.0}, {'v2': 23.0}]","[{'v1': [18.859833497004054, 4.714824723621416]}, {'v2': [20.70512117600491, 22.88612417142626]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.731617207300942,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.0}, {'v2': 19.0}]","[{'v1': [26.852355665415825, 4.369007738141507]}, {'v2': [16.708860091799025, 23.059032664166214]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.108953506611068,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 41.0}, {'v2': 37.0}]","[{'v1': [20.857964039106996, 4.628370477251438]}, {'v2': [15.709794820747552, 23.10225978735122]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.027730182249418,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 16.0}, {'v2': 42.0}]","[{'v1': [25.85329039436435, 4.4122348613264935]}, {'v2': [18.706990633901963, 22.97257841779618]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-14.084202330054644,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
