speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 52.57619927959156}, {'v2': 33.709593885502095}]","[{'v1': [30.507293960871888, 1.2834783867033508]}, {'v2': [46.30395102799002, 28.730170040821104]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.971235974194735,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 52.57619927959156}, {'v2': 33.709593885502095}]","[{'v1': [30.507293960871888, 1.2834783867033508]}, {'v2': [46.30395102799002, 28.535132867967093]}]","[{'v1': ['FL', 'FL', 'FL', 'F', 'M', 'F']}, {'v2': ['B', 'ML', 'B', 'B', 'B']}]","[{'v1': ['F', 'FL', 'F']}, {'v2': ['B', 'B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'FL', 'damage': 0.2553191489361702}, {'name': 'FL', 'damage': 0.288}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 0.5523809523809524}, {'name': 'M', 'damage': 0.006122895254756178}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 1}, {'name': 'ML', 'damage': 0.027777777777777776}, {'name': 'B', 'damage': 1}, {'name': 'B', 'damage': 0.044444444444444446}, {'name': 'B', 'damage': 0.1370223978919631}]}]","{'v1': [{'name': 'F', 'damage': 0.5523809523809524}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.1370223978919631}, {'name': 'B', 'damage': 1}, {'name': 'B', 'damage': 1}]}"
"[{'v1': 52.57619927959156}, {'v2': 33.709593885502095}]","[{'v1': [30.507293960871888, 1.2834783867033508]}, {'v2': [46.30395102799002, 28.535132867967093]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.277763395241883,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 42.77819537865365}, {'v2': 33.709593885502095}]","[{'v1': [30.507293960871888, 1.2834783867033508]}, {'v2': [46.30395102799002, 29.023222821466682]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-8.109133330820699,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 50.0}, {'v2': 16.82663787751465}]","[{'v1': [30.507293960871888, 1.2834783867033508]}, {'v2': [46.30395102799002, 28.25786265823376]}]","[{'v1': ['M', 'MR']}, {'v2': ['FL', 'FR', 'F', 'FR', 'F']}]","[{'v1': ['M', 'MR']}, {'v2': ['FR', 'F']}]",1,1.1,1.7,,"[{'v1': [{'name': 'M', 'damage': 0.00029156644070267514}, {'name': 'MR', 'damage': 0.04129793510324484}]}, {'v2': [{'name': 'FL', 'damage': 0.36879432624113473}, {'name': 'FR', 'damage': 0.8}, {'name': 'F', 'damage': 0.19047619047619047}, {'name': 'FR', 'damage': 0.22695035460992907}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'M', 'damage': 0.00029156644070267514}, {'name': 'MR', 'damage': 0.04129793510324484}], 'v2': [{'name': 'FR', 'damage': 0.8}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 37.200687223150226}, {'v2': 17.928254812137848}]","[{'v1': [30.118973736954864, 1.2971352842174897]}, {'v2': [46.30395102799002, 28.535132867967093]}]","[{'v1': ['F', 'FR', 'M', 'F', 'FR', 'F']}, {'v2': ['FL', 'FL', 'FR', 'M', 'F', 'F', 'FR', 'F']}]","[{'v1': ['FR', 'FR', 'F', 'F']}, {'v2': ['FL', 'FL', 'FR', 'F', 'F']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.819047619047619}, {'name': 'FR', 'damage': 0.448}, {'name': 'M', 'damage': 0.015161454916539106}, {'name': 'F', 'damage': 0.007751937984496124}, {'name': 'FR', 'damage': 0.6524822695035462}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'FL', 'damage': 0.8}, {'name': 'FL', 'damage': 0.851063829787234}, {'name': 'FR', 'damage': 0.8}, {'name': 'M', 'damage': 0.013995189153728407}, {'name': 'F', 'damage': 0.015503875968992248}, {'name': 'F', 'damage': 0.819047619047619}, {'name': 'FR', 'damage': 0.028368794326241134}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'FR', 'damage': 0.448}, {'name': 'FR', 'damage': 0.6524822695035462}, {'name': 'F', 'damage': 0.819047619047619}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'FL', 'damage': 0.8}, {'name': 'FL', 'damage': 0.851063829787234}, {'name': 'FR', 'damage': 0.8}, {'name': 'F', 'damage': 0.819047619047619}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 52.57619927959156}, {'v2': 33.9564481827515}]","[{'v1': [30.507293960871888, 1.2834783867033508]}, {'v2': [46.30395102799002, 29.229016209833947]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.874309574337488,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 50.0}, {'v2': 33.709593885502095}]","[{'v1': [31.629526268874038, 1.2440104149792823]}, {'v2': [46.30395102799002, 26.936613010713405]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.297598062663815,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 52.57619927959156}, {'v2': 30.555241099905853}]","[{'v1': [30.507293960871888, 1.2834783867033508]}, {'v2': [46.30395102799002, 28.535132867967093]}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['B', 'B', 'B']}]","[{'v1': ['F', 'FL', 'F']}, {'v2': ['B', 'B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'FL', 'damage': 1}, {'name': 'M', 'damage': 0.004956629491945477}, {'name': 'F', 'damage': 0.07751937984496124}, {'name': 'F', 'damage': 0.7619047619047619}, {'name': 'FL', 'damage': 0.13866666666666666}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.013008130081300813}, {'name': 'B', 'damage': 0.11555555555555555}, {'name': 'B', 'damage': 1}]}]","{'v1': [{'name': 'F', 'damage': 0.7619047619047619}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.013008130081300813}, {'name': 'B', 'damage': 0.11555555555555555}, {'name': 'B', 'damage': 1}]}"
"[{'v1': 52.57619927959156}, {'v2': 12.98120292671514}]","[{'v1': [30.507293960871888, 1.2834783867033508]}, {'v2': [46.30395102799002, 28.535132867967093]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.4643266848120815,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 50.0}, {'v2': 47.41169483372916}]","[{'v1': [30.507293960871888, 1.2834783867033508]}, {'v2': [46.30395102799002, 28.535132867967093]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-8.29272905636362,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 50.0}, {'v2': 33.709593885502095}]","[{'v1': [29.828158247978934, 1.3073630217491747]}, {'v2': [46.30395102799002, 28.535132867967093]}]","[{'v1': ['F', 'F', 'FL', 'M']}, {'v2': []}]","[{'v1': ['F', 'F', 'FL']}, {'v2': []}]",1,1.4,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.026755852842809364}, {'name': 'F', 'damage': 0.01904761904761905}, {'name': 'FL', 'damage': 0.028368794326241134}, {'name': 'M', 'damage': 0.00029156644070267514}]}, {'v2': []}]","{'v1': [{'name': 'F', 'damage': 0.01904761904761905}, {'name': 'F', 'damage': 0.026755852842809364}, {'name': 'FL', 'damage': 0.028368794326241134}], 'v2': []}"
"[{'v1': 50.0}, {'v2': 33.709593885502095}]","[{'v1': [29.84580566695588, 1.306742376782693]}, {'v2': [46.30395102799002, 28.267530745233337]}]","[{'v1': ['F', 'F', 'FL', 'M']}, {'v2': []}]","[{'v1': ['F', 'F', 'FL']}, {'v2': []}]",1,1.4,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.017837235228539576}, {'name': 'F', 'damage': 0.01904761904761905}, {'name': 'FL', 'damage': 0.028368794326241134}, {'name': 'M', 'damage': 0.00029156644070267514}]}, {'v2': []}]","{'v1': [{'name': 'F', 'damage': 0.017837235228539576}, {'name': 'F', 'damage': 0.01904761904761905}, {'name': 'FL', 'damage': 0.028368794326241134}], 'v2': []}"
