speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 52.030943972753356}, {'v2': 0.0}]","[{'v1': [24.17865464931192, 0.8524525677642032]}, {'v2': [27.78220414031514, 15.654128971669898]}]","[{'v1': ['FR', 'F', 'M']}, {'v2': ['F', 'M']}]","[{'v1': ['FR', 'F', 'M']}, {'v2': ['F', 'M']}]",1,1.5,1.7,,"[{'v1': [{'name': 'FR', 'damage': 0.10666666666666667}, {'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0008746993221080254}]}, {'v2': [{'name': 'F', 'damage': 0.12040133779264214}, {'name': 'M', 'damage': 0.0005831328814053503}]}]","{'v1': [{'name': 'FR', 'damage': 0.10666666666666667}, {'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0008746993221080254}], 'v2': [{'name': 'F', 'damage': 0.12040133779264214}, {'name': 'M', 'damage': 0.0005831328814053503}]}"
"[{'v1': 43.0}, {'v2': 40.0}]","[{'v1': [26.178637172107873, 0.8608136987123461]}, {'v2': [27.78220414031514, 15.654128971669898]}]","[{'v1': ['M', 'F', 'F', 'FL', 'F', 'FL', 'FR', 'F']}, {'v2': ['B', 'M', 'B', 'ML', 'B', 'B']}]","[{'v1': ['F', 'F', 'FL', 'F']}, {'v2': ['B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'M', 'damage': 0.01253735695021503}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.041666666666666664}, {'name': 'FL', 'damage': 0.010666666666666666}, {'name': 'F', 'damage': 0.10852713178294573}, {'name': 'FL', 'damage': 1}, {'name': 'FR', 'damage': 0.028368794326241134}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 1}, {'name': 'M', 'damage': 0.006414461695458853}, {'name': 'B', 'damage': 0.01951219512195122}, {'name': 'ML', 'damage': 0.05555555555555555}, {'name': 'B', 'damage': 0.08}, {'name': 'B', 'damage': 0.5691699604743083}]}]","{'v1': [{'name': 'F', 'damage': 0.10852713178294573}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.5691699604743083}, {'name': 'B', 'damage': 1}]}"
"[{'v1': 17.0}, {'v2': 28.0}]","[{'v1': [19.178698342322036, 0.8315497403938439]}, {'v2': [27.78220414031514, 15.654128971669898]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-6.163727081385781,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 13.0}, {'v2': 17.0}]","[{'v1': [25.178645910709896, 0.856633133238275]}, {'v2': [27.78220414031514, 15.654128971669898]}]","[{'v1': ['F', 'F', 'FR', 'M']}, {'v2': ['B']}]","[{'v1': ['F', 'FR', 'F']}, {'v2': ['B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.3879598662207358}, {'name': 'F', 'damage': 0.24761904761904763}, {'name': 'FR', 'damage': 0.2553191489361702}, {'name': 'M', 'damage': 0.0014578322035133757}]}, {'v2': [{'name': 'B', 'damage': 0.08432147562582346}]}]","{'v1': [{'name': 'F', 'damage': 0.24761904761904763}, {'name': 'FR', 'damage': 0.2553191489361702}, {'name': 'F', 'damage': 0.3879598662207358}], 'v2': [{'name': 'B', 'damage': 0.08432147562582346}]}"
"[{'v1': 24.0}, {'v2': 20.0}]","[{'v1': [22.178672126515966, 0.8440914368160597]}, {'v2': [27.78220414031514, 15.654128971669898]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.271424926766712,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 38.0}, {'v2': 38.0}]","[{'v1': [27.17862843350585, 0.8649942641864183]}, {'v2': [27.78220414031514, 15.654128971669898]}]","[{'v1': ['F', 'FL', 'FL', 'F', 'M', 'F', 'F']}, {'v2': ['B', 'B', 'B', 'M']}]","[{'v1': ['F', 'FL', 'F']}, {'v2': ['B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.7428571428571429}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 0.032}, {'name': 'F', 'damage': 0.10852713178294573}, {'name': 'M', 'damage': 0.011079524746701654}, {'name': 'F', 'damage': 0.00903954802259887}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.01951219512195122}, {'name': 'B', 'damage': 0.5744400527009222}, {'name': 'B', 'damage': 0.18666666666666668}, {'name': 'M', 'damage': 0.006122895254756178}]}]","{'v1': [{'name': 'F', 'damage': 0.7428571428571429}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.18666666666666668}, {'name': 'B', 'damage': 0.5744400527009222}]}"
"[{'v1': 10.0}, {'v2': 45.0}]","[{'v1': [28.17861969490383, 0.8691748296604902]}, {'v2': [27.78220414031514, 15.654128971669898]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-2.4552488143049236,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 46.0}, {'v2': 39.0}]","[{'v1': [27.17862843350585, 0.864994264186418]}, {'v2': [27.78220414031514, 15.654128971669898]}]","[{'v1': ['F', 'FL', 'FL', 'F', 'M', 'F', 'F']}, {'v2': ['B', 'B', 'B', 'M']}]","[{'v1': ['F', 'FL', 'F']}, {'v2': ['B', 'B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.819047619047619}, {'name': 'FL', 'damage': 0.9929078014184397}, {'name': 'FL', 'damage': 0.032}, {'name': 'F', 'damage': 0.11627906976744186}, {'name': 'M', 'damage': 0.01020482542459363}, {'name': 'F', 'damage': 0.013559322033898305}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.026016260162601626}, {'name': 'B', 'damage': 0.5270092226613966}, {'name': 'B', 'damage': 0.17777777777777778}, {'name': 'M', 'damage': 0.006122895254756178}]}]","{'v1': [{'name': 'F', 'damage': 0.819047619047619}, {'name': 'FL', 'damage': 0.9929078014184397}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.17777777777777778}, {'name': 'B', 'damage': 0.5270092226613966}]}"
"[{'v1': 10.0}, {'v2': 22.0}]","[{'v1': [26.178637172107873, 0.8608136987123458]}, {'v2': [27.78220414031514, 15.654128971669898]}]","[{'v1': ['F']}, {'v2': ['B']}]","[{'v1': ['F']}, {'v2': ['B']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.26755852842809363}]}, {'v2': [{'name': 'B', 'damage': 0.04216073781291173}]}]","{'v1': [{'name': 'F', 'damage': 0.26755852842809363}], 'v2': [{'name': 'B', 'damage': 0.04216073781291173}]}"
"[{'v1': 29.0}, {'v2': 18.0}]","[{'v1': [24.17865464931192, 0.8524525677642032]}, {'v2': [27.78220414031514, 15.654128971669898]}]","[{'v1': ['FL', 'FR', 'F', 'FR']}, {'v2': ['F', 'M', 'FL', 'F', 'FL', 'ML']}]","[{'v1': ['FR', 'FL']}, {'v2': ['FL', 'F']}]",1,1.7,1.7,,"[{'v1': [{'name': 'FL', 'damage': 1}, {'name': 'FR', 'damage': 0.10752688172043011}, {'name': 'F', 'damage': 0.01807909604519774}, {'name': 'FR', 'damage': 0.032}]}, {'v2': [{'name': 'F', 'damage': 0.0380952380952381}, {'name': 'M', 'damage': 0.011079524746701654}, {'name': 'FL', 'damage': 0.08602150537634409}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.010666666666666666}, {'name': 'ML', 'damage': 0.018018018018018018}]}]","{'v1': [{'name': 'FR', 'damage': 0.10752688172043011}, {'name': 'FL', 'damage': 1}], 'v2': [{'name': 'FL', 'damage': 0.08602150537634409}, {'name': 'F', 'damage': 1}]}"
