speeds,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.36,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.0}, {'v2': 32.0}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['MR']}]","[{'v1': ['F', 'FL', 'F']}, {'v2': ['MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 1}, {'name': 'M', 'damage': 0.004956629491945477}, {'name': 'F', 'damage': 0.046511627906976744}, {'name': 'F', 'damage': 0.8}, {'name': 'FL', 'damage': 0.010666666666666666}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'MR', 'damage': 0.05405405405405406}]}]","{'v1': [{'name': 'F', 'damage': 0.8}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'MR', 'damage': 0.05405405405405406}]}"
"[{'v1': 10.0}, {'v2': 26.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.03,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 27.0}, {'v2': 11.0}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['FR', 'MR']}]","[{'v1': ['FL', 'F', 'F']}, {'v2': ['FR', 'MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.48226950354609927}, {'name': 'M', 'damage': 0.0029156644070267514}, {'name': 'F', 'damage': 0.007751937984496124}, {'name': 'F', 'damage': 0.5142857142857142}, {'name': 'FL', 'damage': 0.021333333333333333}, {'name': 'F', 'damage': 0.48606465997770343}]}, {'v2': [{'name': 'FR', 'damage': 1}, {'name': 'MR', 'damage': 0.04129793510324484}]}]","{'v1': [{'name': 'FL', 'damage': 0.48226950354609927}, {'name': 'F', 'damage': 0.48606465997770343}, {'name': 'F', 'damage': 0.5142857142857142}], 'v2': [{'name': 'FR', 'damage': 1}, {'name': 'MR', 'damage': 0.04129793510324484}]}"
"[{'v1': 42.0}, {'v2': 42.0}]","[{'v1': ['FL']}, {'v2': ['F', 'FR', 'M', 'FL', 'FR', 'F']}]","[{'v1': ['FL']}, {'v2': ['F', 'FL', 'FR', 'F']}]",1,1.9,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.10666666666666667}]}, {'v2': [{'name': 'F', 'damage': 0.34285714285714286}, {'name': 'FR', 'damage': 0.08533333333333333}, {'name': 'M', 'damage': 0.01370362271302573}, {'name': 'FL', 'damage': 0.2222222222222222}, {'name': 'FR', 'damage': 0.19858156028368795}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'FL', 'damage': 0.10666666666666667}], 'v2': [{'name': 'F', 'damage': 0.34285714285714286}, {'name': 'FL', 'damage': 0.2222222222222222}, {'name': 'FR', 'damage': 0.19858156028368795}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 16.0}, {'v2': 42.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.09,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 17.0}, {'v2': 30.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-9.94,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 22.0}, {'v2': 21.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.49,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 49.0}, {'v2': 18.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-19.16,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.0}, {'v2': 25.0}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['MR', 'MR', 'M']}]","[{'v1': ['F', 'FL', 'F']}, {'v2': ['MR', 'MR', 'M']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.9929078014184397}, {'name': 'M', 'damage': 0.0040819301698374515}, {'name': 'F', 'damage': 0.03875968992248062}, {'name': 'F', 'damage': 0.6095238095238096}, {'name': 'FL', 'damage': 0.2773333333333333}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'MR', 'damage': 0.036036036036036036}, {'name': 'MR', 'damage': 0.02359882005899705}, {'name': 'M', 'damage': 0.00029156644070267514}]}]","{'v1': [{'name': 'F', 'damage': 0.6095238095238096}, {'name': 'FL', 'damage': 0.9929078014184397}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'MR', 'damage': 0.036036036036036036}, {'name': 'MR', 'damage': 0.02359882005899705}, {'name': 'M', 'damage': 0.00029156644070267514}]}"
