v1,v2,score
20.0,20.0,0.0
20.0,20.0,0.0
20.0,20.0,0.0
20.0,20.0,0.0
10.798791328852474,20.0,2.0
10.798791328852474,20.0,2.0
10.798791328852474,20.0,2.0
10.798791328852474,20.0,2.0
10.798791328852474,20.0,2.0
10.798791328852474,20.0,2.0
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
10.0,20.0,2.2
