speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-11.543748784738273,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-8.675141944202283,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': [3.150911454021216, -14.0]}, {'v2': [99.33344, 2.3944785714723733]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.764654789681975,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 20.96871006451595}, {'v2': 39.117580547406504}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.169929467894593]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-9.456378888484242,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 29.73117914728302}]","[{'v1': [1.9407321591283246, -14.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.971703352329525,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 29.73117914728302}]","[{'v1': [1.8612852269761073, -14.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-8.398531110614796,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 12.107536028890728}]","[{'v1': [1.5187968039189261, -14.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-9.683385788483271,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 29.73117914728302}]","[{'v1': [1.9407321591283246, -14.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-8.468734567183605,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 29.73117914728302}]","[{'v1': [1.9407321591283246, -14.0]}, {'v2': [99.33344, 2.974819487954653]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.28734353877441,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 29.73117914728302}]","[{'v1': [1.9619456120595233, -14.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-8.448480298802895,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 18.755130416167976}]","[{'v1': [0.9034727399893572, -14.0]}, {'v2': [99.33344, 2.4359555927653602]}]","[{'v1': ['MR']}, {'v2': ['F', 'FL', 'FR', 'M']}]","[{'v1': ['MR']}, {'v2': ['FL', 'FR', 'F']}]",1,2.0,2.4000000000000004,,"[{'v1': [{'name': 'MR', 'damage': 0.017699115044247787}]}, {'v2': [{'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.11347517730496454}, {'name': 'FR', 'damage': 0.0851063829787234}, {'name': 'M', 'damage': 0.00029156644070267514}]}]","{'v1': [{'name': 'MR', 'damage': 0.017699115044247787}], 'v2': [{'name': 'FL', 'damage': 0.11347517730496454}, {'name': 'FR', 'damage': 0.0851063829787234}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 10.0}, {'v2': 34.729150987261306}]","[{'v1': [0.9034727399893572, -14.0]}, {'v2': [99.33344, 2.183903568175518]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-11.068885197859148,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 18.755130416167976}]","[{'v1': [1.2852773609661796, -14.0]}, {'v2': [99.33344, 2.1717467618104425]}]","[{'v1': ['MR', 'MR']}, {'v2': ['F', 'FL', 'FR', 'M']}]","[{'v1': ['MR', 'MR']}, {'v2': ['FL', 'FR', 'F']}]",1,2.0,2.4000000000000004,,"[{'v1': [{'name': 'MR', 'damage': 0.04504504504504504}, {'name': 'MR', 'damage': 0.017699115044247787}]}, {'v2': [{'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.11347517730496454}, {'name': 'FR', 'damage': 0.14184397163120568}, {'name': 'M', 'damage': 0.0005831328814053503}]}]","{'v1': [{'name': 'MR', 'damage': 0.04504504504504504}, {'name': 'MR', 'damage': 0.017699115044247787}], 'v2': [{'name': 'FL', 'damage': 0.11347517730496454}, {'name': 'FR', 'damage': 0.14184397163120568}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 24.97528882660056}, {'v2': 30.887532531361693}]","[{'v1': [-0.6171854939742081, -14.0]}, {'v2': [99.33344, 2.4359555927653602]}]","[{'v1': ['FL', 'FL', 'M', 'F', 'F', 'FR', 'F']}, {'v2': ['ML', 'ML', 'M']}]","[{'v1': ['F', 'FR', 'FL', 'F']}, {'v2': ['ML', 'ML', 'M']}]",1,2.0,2.4000000000000004,,"[{'v1': [{'name': 'FL', 'damage': 0.22695035460992907}, {'name': 'FL', 'damage': 0.8}, {'name': 'M', 'damage': 0.0020409650849187258}, {'name': 'F', 'damage': 0.007751937984496124}, {'name': 'F', 'damage': 0.6666666666666666}, {'name': 'FR', 'damage': 0.5673758865248227}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'ML', 'damage': 0.05309734513274336}, {'name': 'ML', 'damage': 0.009009009009009009}, {'name': 'M', 'damage': 0.00029156644070267514}]}]","{'v1': [{'name': 'F', 'damage': 0.6666666666666666}, {'name': 'FR', 'damage': 0.5673758865248227}, {'name': 'FL', 'damage': 0.8}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'ML', 'damage': 0.05309734513274336}, {'name': 'ML', 'damage': 0.009009009009009009}, {'name': 'M', 'damage': 0.00029156644070267514}]}"
"[{'v1': 10.0}, {'v2': 12.302897356766955}]","[{'v1': [0.9034727399893572, -14.0]}, {'v2': [99.33344, 2.270030621752294]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-9.491026784168257,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 15.964388461911778}, {'v2': 18.755130416167976}]","[{'v1': [0.9034727399893572, -14.0]}, {'v2': [99.33344, 2.8989518865805906]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.8459388546677586,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 10.642753835960693}]","[{'v1': [0.9034727399893572, -14.0]}, {'v2': [99.33344, 4.478031004930651]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-9.969382919098269,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
