speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-11.575039779861406,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 36.0}, {'v2': 21.0}]","[{'v1': [-2.0, -14.0]}, {'v2': [99.33344, 6.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-8.636530510236552,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 47.0}, {'v2': 36.0}]","[{'v1': [0.0, -14.0]}, {'v2': [99.33344, 5.0]}]","[{'v1': ['B', 'B', 'B', 'M']}, {'v2': ['F', 'M', 'F', 'FR', 'F']}]","[{'v1': ['B', 'B']}, {'v2': ['F', 'FR', 'F']}]",1,1.6,2.4000000000000004,,"[{'v1': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.03162055335968379}, {'name': 'B', 'damage': 0.003755868544600939}, {'name': 'M', 'damage': 0.0037903637291347766}]}, {'v2': [{'name': 'F', 'damage': 0.3047619047619048}, {'name': 'M', 'damage': 0.0032072308477294263}, {'name': 'F', 'damage': 0.007751937984496124}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.03162055335968379}], 'v2': [{'name': 'F', 'damage': 0.3047619047619048}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 49.0}, {'v2': 12.0}]","[{'v1': [3.0, -14.0]}, {'v2': [99.33344, 3.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-23.289469532124254,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 46.0}, {'v2': 25.0}]","[{'v1': [4.0, -14.0]}, {'v2': [99.33344, 5.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-12.48034589497029,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 33.0}, {'v2': 39.0}]","[{'v1': [2.0, -14.0]}, {'v2': [99.33344, 4.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.284429250071174,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 22.0}, {'v2': 32.0}]","[{'v1': [0.0, -14.0]}, {'v2': [99.33344, -1.0]}]","[{'v1': ['MR', 'MR', 'M']}, {'v2': ['FL', 'FR', 'M', 'F', 'F', 'FR', 'F']}]","[{'v1': ['MR', 'MR', 'M']}, {'v2': ['FL', 'F', 'F']}]",1,2.1,2.4000000000000004,,"[{'v1': [{'name': 'MR', 'damage': 0.04504504504504504}, {'name': 'MR', 'damage': 0.0471976401179941}, {'name': 'M', 'damage': 0.0005831328814053503}]}, {'v2': [{'name': 'FL', 'damage': 0.6808510638297872}, {'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'M', 'damage': 0.004373496610540126}, {'name': 'F', 'damage': 0.12403100775193798}, {'name': 'F', 'damage': 0.9142857142857143}, {'name': 'FR', 'damage': 0.19858156028368795}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'MR', 'damage': 0.04504504504504504}, {'name': 'MR', 'damage': 0.0471976401179941}, {'name': 'M', 'damage': 0.0005831328814053503}], 'v2': [{'name': 'FL', 'damage': 0.6808510638297872}, {'name': 'F', 'damage': 0.9142857142857143}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 32.0}, {'v2': 29.0}]","[{'v1': [4.0, -14.0]}, {'v2': [99.33344, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.164703119851382,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 19.0}, {'v2': 20.0}]","[{'v1': [3.0, -14.0]}, {'v2': [99.33344, -2.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-9.506377112757514,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 27.0}, {'v2': 41.0}]","[{'v1': [1.0, -14.0]}, {'v2': [99.33344, -2.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.661545931489754,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 35.0}, {'v2': 20.0}]","[{'v1': [3.0, -14.0]}, {'v2': [99.33344, 6.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.634800829850772,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 23.0}, {'v2': 22.0}]","[{'v1': [-1.0, -14.0]}, {'v2': [99.33344, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-13.148860678342539,2.4000000000000004,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 36.0}, {'v2': 36.0}]","[{'v1': [0.0, -14.0]}, {'v2': [99.33344, 3.0]}]","[{'v1': ['F', 'M', 'F', 'FL', 'FR', 'F']}, {'v2': ['FL', 'F', 'F', 'FL', 'F', 'M', 'F', 'F']}]","[{'v1': ['FR', 'F', 'F']}, {'v2': ['FL', 'F', 'F', 'F', 'FL']}]",1,2.4000000000000004,2.4000000000000004,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'M', 'damage': 0.008455426780377579}, {'name': 'F', 'damage': 0.14728682170542637}, {'name': 'FL', 'damage': 0.05673758865248227}, {'name': 'FR', 'damage': 0.851063829787234}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'FL', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 0.0380952380952381}, {'name': 'F', 'damage': 0.75}, {'name': 'FL', 'damage': 0.7786666666666666}, {'name': 'F', 'damage': 0.023255813953488372}, {'name': 'M', 'damage': 0.0032072308477294263}, {'name': 'F', 'damage': 0.00903954802259887}, {'name': 'F', 'damage': 0.04013377926421405}]}]","{'v1': [{'name': 'FR', 'damage': 0.851063829787234}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'FL', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 0.0380952380952381}, {'name': 'F', 'damage': 0.04013377926421405}, {'name': 'F', 'damage': 0.75}, {'name': 'FL', 'damage': 0.7786666666666666}]}"
