speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-19.61,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 44.0}, {'v2': 22.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-31.91,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 20.0}, {'v2': 47.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-32.47,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 44.0}, {'v2': 44.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': ['B', 'B', 'B', 'M']}, {'v2': ['F', 'FR', 'M', 'F', 'FR', 'F', 'F']}]","[{'v1': ['B', 'B', 'B']}, {'v2': ['F', 'FR', 'F']}]",1,1.6,2.4000000000000004,,"[{'v1': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.03162055335968379}, {'name': 'B', 'damage': 0.011267605633802818}, {'name': 'M', 'damage': 0.0005831328814053503}]}, {'v2': [{'name': 'F', 'damage': 0.47619047619047616}, {'name': 'FR', 'damage': 0.042666666666666665}, {'name': 'M', 'damage': 0.007872293898972229}, {'name': 'F', 'damage': 0.20155038759689922}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.011267605633802818}, {'name': 'B', 'damage': 0.03162055335968379}], 'v2': [{'name': 'F', 'damage': 0.47619047619047616}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 27.0}, {'v2': 18.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-22.05,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 12.0}, {'v2': 23.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': ['FR', 'MR']}, {'v2': ['F', 'M', 'FL', 'FR', 'F']}]","[{'v1': ['FR', 'MR']}, {'v2': ['FL', 'F']}]",1,2.3,2.4000000000000004,,"[{'v1': [{'name': 'FR', 'damage': 0.064}, {'name': 'MR', 'damage': 0.029498525073746312}]}, {'v2': [{'name': 'F', 'damage': 0.20952380952380953}, {'name': 'M', 'damage': 0.0011662657628107006}, {'name': 'FL', 'damage': 0.45390070921985815}, {'name': 'FR', 'damage': 0.19858156028368795}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'FR', 'damage': 0.064}, {'name': 'MR', 'damage': 0.029498525073746312}], 'v2': [{'name': 'FL', 'damage': 0.45390070921985815}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 33.0}, {'v2': 46.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': ['FR', 'M', 'F', 'B', 'F', 'F']}, {'v2': ['F', 'F', 'M', 'FR', 'F', 'FL', 'FR', 'FL', 'F', 'F']}]","[{'v1': ['F', 'FR']}, {'v2': ['FR', 'F', 'F', 'FL', 'F']}]",1,2.3,2.4000000000000004,,"[{'v1': [{'name': 'FR', 'damage': 0.8426666666666667}, {'name': 'M', 'damage': 0.002624097966324076}, {'name': 'F', 'damage': 0.16666666666666666}, {'name': 'B', 'damage': 0.021080368906455864}, {'name': 'F', 'damage': 0.00903954802259887}, {'name': 'F', 'damage': 0.044593088071348944}]}, {'v2': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.041666666666666664}, {'name': 'M', 'damage': 0.01603615423864713}, {'name': 'FR', 'damage': 0.0851063829787234}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'FR', 'damage': 0.021333333333333333}, {'name': 'FL', 'damage': 0.021333333333333333}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.013559322033898305}]}]","{'v1': [{'name': 'F', 'damage': 0.16666666666666666}, {'name': 'FR', 'damage': 0.8426666666666667}], 'v2': [{'name': 'FR', 'damage': 0.0851063829787234}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 21.0}, {'v2': 12.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-18.91,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 28.0}, {'v2': 20.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-22.36,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 32.0}, {'v2': 47.0}]","[{'v1': [2.0, -14.0, 0.0]}, {'v2': [99.33344, 2.0, 0.0]}]","[{'v1': ['F', 'F', 'M', 'FR', 'F', 'FR', 'FL', 'F', 'F']}, {'v2': ['FL', 'F', 'F', 'FL', 'F', 'M', 'F', 'F']}]","[{'v1': ['F', 'F', 'FR', 'F', 'FR']}, {'v2': ['FL', 'F', 'FL', 'F', 'F']}]",1,2.4000000000000004,2.4000000000000004,,"[{'v1': [{'name': 'F', 'damage': 0.47619047619047616}, {'name': 'F', 'damage': 0.25}, {'name': 'M', 'damage': 0.017493986442160506}, {'name': 'FR', 'damage': 0.3404255319148936}, {'name': 'F', 'damage': 1}, {'name': 'FR', 'damage': 0.928}, {'name': 'FL', 'damage': 0.07407407407407407}, {'name': 'F', 'damage': 0.031638418079096044}, {'name': 'F', 'damage': 0.05426356589147287}]}, {'v2': [{'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 0.780952380952381}, {'name': 'F', 'damage': 0.041666666666666664}, {'name': 'FL', 'damage': 0.2773333333333333}, {'name': 'F', 'damage': 0.16279069767441862}, {'name': 'M', 'damage': 0.019534951527079233}, {'name': 'F', 'damage': 0.02711864406779661}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'F', 'damage': 0.47619047619047616}, {'name': 'F', 'damage': 0.25}, {'name': 'FR', 'damage': 0.3404255319148936}, {'name': 'F', 'damage': 1}, {'name': 'FR', 'damage': 0.928}], 'v2': [{'name': 'FL', 'damage': 0.2773333333333333}, {'name': 'F', 'damage': 0.16279069767441862}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 0.780952380952381}, {'name': 'F', 'damage': 1}]}"
