v1,v2,score
20.0,20.0,0.0
24.0,35.0,2.2
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
19.0,34.0,2.3
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
20.0,35.0,2.4000000000000004
