speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v2': 20.0}, {'v1': 20.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': ['FR']}, {'v1': []}]","[{'v2': ['FR']}, {'v1': []}]",1,1.4,1.7,,"[{'v2': [{'name': 'FR', 'damage': 0.021333333333333333}]}, {'v1': []}]","{'v2': [{'name': 'FR', 'damage': 0.021333333333333333}], 'v1': []}"
"[{'v2': 30.0}, {'v1': 11.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': ['B']}, {'v1': ['F', 'F', 'M']}]","[{'v2': ['B']}, {'v1': ['F', 'F', 'M']}]",1,1.3,1.7,,"[{'v2': [{'name': 'B', 'damage': 0.026350461133069828}]}, {'v1': [{'name': 'F', 'damage': 0.05714285714285714}, {'name': 'F', 'damage': 0.09364548494983277}, {'name': 'M', 'damage': 0.0005831328814053503}]}]","{'v2': [{'name': 'B', 'damage': 0.026350461133069828}], 'v1': [{'name': 'F', 'damage': 0.05714285714285714}, {'name': 'F', 'damage': 0.09364548494983277}, {'name': 'M', 'damage': 0.0005831328814053503}]}"
"[{'v2': 39.0}, {'v1': 25.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': ['B', 'B', 'B', 'M']}, {'v1': ['F', 'F', 'FL', 'M']}]","[{'v2': ['B', 'B']}, {'v1': ['F', 'FL', 'F']}]",1,1.4,1.7,,"[{'v2': [{'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.2002635046113307}, {'name': 'B', 'damage': 0.07111111111111111}, {'name': 'M', 'damage': 0.0008746993221080254}]}, {'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.6666666666666666}, {'name': 'FL', 'damage': 0.36879432624113473}, {'name': 'M', 'damage': 0.0040819301698374515}]}]","{'v2': [{'name': 'B', 'damage': 0.07111111111111111}, {'name': 'B', 'damage': 0.2002635046113307}], 'v1': [{'name': 'F', 'damage': 0.6666666666666666}, {'name': 'FL', 'damage': 0.36879432624113473}, {'name': 'F', 'damage': 1}]}"
"[{'v2': 19.0}, {'v1': 30.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': []}, {'v1': []}]","[{'v2': []}, {'v1': []}]",0,-32.548480935027655,1.7,,"[{'v2': []}, {'v1': []}]","{'v2': [], 'v1': []}"
"[{'v2': 12.0}, {'v1': 34.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': []}, {'v1': []}]","[{'v2': []}, {'v1': []}]",0,-49.274011581922835,1.7,,"[{'v2': []}, {'v1': []}]","{'v2': [], 'v1': []}"
"[{'v2': 17.0}, {'v1': 18.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': []}, {'v1': []}]","[{'v2': []}, {'v1': []}]",0,-5.908202702061389,1.7,,"[{'v2': []}, {'v1': []}]","{'v2': [], 'v1': []}"
"[{'v2': 37.0}, {'v1': 42.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': []}, {'v1': []}]","[{'v2': []}, {'v1': []}]",0,-10.578894365412058,1.7,,"[{'v2': []}, {'v1': []}]","{'v2': [], 'v1': []}"
"[{'v2': 48.0}, {'v1': 12.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': ['B']}, {'v1': ['F', 'F']}]","[{'v2': ['B']}, {'v1': ['F', 'F']}]",1,1.3,1.7,,"[{'v2': [{'name': 'B', 'damage': 0.07378129117259552}]}, {'v1': [{'name': 'F', 'damage': 0.16499442586399107}, {'name': 'F', 'damage': 0.0761904761904762}]}]","{'v2': [{'name': 'B', 'damage': 0.07378129117259552}], 'v1': [{'name': 'F', 'damage': 0.16499442586399107}, {'name': 'F', 'damage': 0.0761904761904762}]}"
"[{'v2': 47.0}, {'v1': 39.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': ['B', 'B', 'B', 'M']}, {'v1': ['F', 'FL', 'FL', 'F', 'M', 'F', 'F']}]","[{'v2': ['B', 'B']}, {'v1': ['F', 'F', 'FL', 'F']}]",1,1.4,1.7,,"[{'v2': [{'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.4268774703557312}, {'name': 'B', 'damage': 0.3288888888888889}, {'name': 'M', 'damage': 0.005248195932648152}]}, {'v1': [{'name': 'F', 'damage': 0.780952380952381}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 0.042666666666666665}, {'name': 'F', 'damage': 0.2248062015503876}, {'name': 'M', 'damage': 0.009621692543188278}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'F', 'damage': 1}]}]","{'v2': [{'name': 'B', 'damage': 0.3288888888888889}, {'name': 'B', 'damage': 0.4268774703557312}], 'v1': [{'name': 'F', 'damage': 0.2248062015503876}, {'name': 'F', 'damage': 0.780952380952381}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}]}"
"[{'v2': 41.0}, {'v1': 23.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': ['B', 'B', 'B']}, {'v1': ['F', 'F', 'FL', 'M']}]","[{'v2': ['B', 'B', 'B']}, {'v1': ['F', 'F']}]",1,1.3,1.7,,"[{'v2': [{'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.08888888888888889}, {'name': 'B', 'damage': 0.22661396574440051}]}, {'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.4}, {'name': 'FL', 'damage': 0.19858156028368795}, {'name': 'M', 'damage': 0.0017493986442160508}]}]","{'v2': [{'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.08888888888888889}, {'name': 'B', 'damage': 0.22661396574440051}], 'v1': [{'name': 'F', 'damage': 0.4}, {'name': 'F', 'damage': 1}]}"
"[{'v2': 22.0}, {'v1': 26.0}]","[{'v2': [55.72493, 77.1553, 0.0]}, {'v1': [-2.0, 97.88, 0.0]}]","[{'v2': []}, {'v1': []}]","[{'v2': []}, {'v1': []}]",0,-16.09924054280779,1.7,,"[{'v2': []}, {'v1': []}]","{'v2': [], 'v1': []}"
