speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': [5.0, -86.84551724137931, 0]}, {'v2': [-86.84551724137933, -5.0, 0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.472062319765812,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 23.921404560710897}, {'v2': 37.3185152702939}]","[{'v1': [5.0, -86.84551724137931, 0]}, {'v2': [-86.84551724137933, -5.241083644580682]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-9.419704451558161,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 13.621431300833684}, {'v2': 20.0}]","[{'v1': [6.899463447656062, -86.84551724137931]}, {'v2': [-86.84551724137933, -5.0, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'F']}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'F']}]",1,2.0,2.1,,"[{'v1': [{'name': 'F', 'damage': 0.044593088071348944}, {'name': 'M', 'damage': 0.0008746993221080254}]}, {'v2': [{'name': 'FR', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 0.04013377926421405}]}]","{'v1': [{'name': 'F', 'damage': 0.044593088071348944}, {'name': 'M', 'damage': 0.0008746993221080254}], 'v2': [{'name': 'FR', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 0.04013377926421405}]}"
"[{'v1': 11.207079084853758}, {'v2': 20.0}]","[{'v1': [7.177862820712531, -86.84551724137931]}, {'v2': [-86.84551724137933, -5.915759251878892]}]","[{'v1': ['F']}, {'v2': []}]","[{'v1': ['F']}, {'v2': []}]",0,-3.222837797188747,2.1,,"[{'v1': [{'name': 'F', 'damage': 0.004459308807134894}]}, {'v2': []}]","{'v1': [{'name': 'F', 'damage': 0.004459308807134894}], 'v2': []}"
"[{'v1': 10.0}, {'v2': 20.034441823120915}]","[{'v1': [6.899463447656062, -86.84551724137931]}, {'v2': [-86.84551724137933, -5.0, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['F', 'F']}]","[{'v1': ['F', 'M']}, {'v2': ['F', 'F']}]",1,1.7999999999999998,2.1,,"[{'v1': [{'name': 'F', 'damage': 0.013377926421404682}, {'name': 'M', 'damage': 0.00029156644070267514}]}, {'v2': [{'name': 'F', 'damage': 0.026755852842809364}, {'name': 'F', 'damage': 0.01904761904761905}]}]","{'v1': [{'name': 'F', 'damage': 0.013377926421404682}, {'name': 'M', 'damage': 0.00029156644070267514}], 'v2': [{'name': 'F', 'damage': 0.026755852842809364}, {'name': 'F', 'damage': 0.01904761904761905}]}"
"[{'v1': 14.65060914605663}, {'v2': 20.0}]","[{'v1': [6.750442770453019, -86.84551724137931]}, {'v2': [-86.84551724137933, -5.562806890174416]}]","[{'v1': ['F', 'M']}, {'v2': ['F']}]","[{'v1': ['F', 'M']}, {'v2': ['F']}]",1,1.7999999999999998,2.1,,"[{'v1': [{'name': 'F', 'damage': 0.017837235228539576}, {'name': 'M', 'damage': 0.00029156644070267514}]}, {'v2': [{'name': 'F', 'damage': 0.004459308807134894}]}]","{'v1': [{'name': 'F', 'damage': 0.017837235228539576}, {'name': 'M', 'damage': 0.00029156644070267514}], 'v2': [{'name': 'F', 'damage': 0.004459308807134894}]}"
"[{'v1': 13.621431300833684}, {'v2': 20.0}]","[{'v1': [7.596181925719117, -86.84551724137931]}, {'v2': [-86.84551724137933, -7.030739136760337]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.817854637203457,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 13.621431300833684}, {'v2': 20.0}]","[{'v1': [6.899463447656062, -86.84551724137931]}, {'v2': [-86.84551724137933, -5.0, 0]}]","[{'v1': ['F', 'M']}, {'v2': []}]","[{'v1': ['F', 'M']}, {'v2': []}]",0,-3.0185537358148005,2.1,,"[{'v1': [{'name': 'F', 'damage': 0.03567447045707915}, {'name': 'M', 'damage': 0.0005831328814053503}]}, {'v2': []}]","{'v1': [{'name': 'F', 'damage': 0.03567447045707915}, {'name': 'M', 'damage': 0.0005831328814053503}], 'v2': []}"
"[{'v1': 13.621431300833684}, {'v2': 10.0}]","[{'v1': [6.899463447656062, -86.84551724137931]}, {'v2': [-86.84551724137933, -4.779538917114054]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-6.3664189025711515,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 13.621431300833684}, {'v2': 20.0}]","[{'v1': [6.899463447656062, -86.84551724137931]}, {'v2': [-86.84551724137933, -4.2553738200458975]}]","[{'v1': ['F', 'M']}, {'v2': ['F']}]","[{'v1': ['F', 'M']}, {'v2': ['F']}]",1,1.7999999999999998,2.1,,"[{'v1': [{'name': 'F', 'damage': 0.08472686733556299}, {'name': 'M', 'damage': 0.0005831328814053503}]}, {'v2': [{'name': 'F', 'damage': 0.10256410256410256}]}]","{'v1': [{'name': 'F', 'damage': 0.08472686733556299}, {'name': 'M', 'damage': 0.0005831328814053503}], 'v2': [{'name': 'F', 'damage': 0.10256410256410256}]}"
