v1,v2,score
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
10.0,10.0,1.5
10.0,10.0,1.5
10.0,10.0,1.5
10.0,10.0,1.5
10.0,10.0,1.5
10.0,10.0,1.5
10.0,10.0,1.5
10.0,10.0,1.5
10.0,10.0,1.5
10.0,10.0,1.5
10.0,10.0,1.5
10.0,10.0,1.5
35.0,42.0,1.5999999999999999
35.0,42.0,1.5999999999999999
35.0,42.0,1.5999999999999999
35.0,42.0,1.5999999999999999
