v1,v2,score
13.263638705299877,15.219178023020962,1.9
13.263638705299877,15.219178023020962,1.9
13.263638705299877,15.219178023020962,1.9
13.263638705299877,15.219178023020962,1.9
13.263638705299877,15.219178023020962,1.9
13.263638705299877,15.219178023020962,1.9
13.263638705299877,15.219178023020962,1.9
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
42.0,45.0,2.0
