speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 13.263638705299877}, {'v2': 15.219178023020962}]","[{'v1': [34.73947618984087, 2.42624913071905, 0]}, {'v2': [49.76333500885415, 19.031219041826027, 0]}]","[{'v1': ['MR']}, {'v2': ['F', 'F', 'FL', 'M']}]","[{'v1': ['MR']}, {'v2': ['F', 'FL', 'F']}]",1,2.0,2.3,,"[{'v1': [{'name': 'MR', 'damage': 0.02359882005899705}]}, {'v2': [{'name': 'F', 'damage': 0.3433667781493868}, {'name': 'F', 'damage': 0.19047619047619047}, {'name': 'FL', 'damage': 0.22695035460992907}, {'name': 'M', 'damage': 0.0011662657628107006}]}]","{'v1': [{'name': 'MR', 'damage': 0.02359882005899705}], 'v2': [{'name': 'F', 'damage': 0.19047619047619047}, {'name': 'FL', 'damage': 0.22695035460992907}, {'name': 'F', 'damage': 0.3433667781493868}]}"
"[{'v1': 13.263638705299877}, {'v2': 13.028982311525478}]","[{'v1': [34.73947618984087, 2.42624913071905, 0]}, {'v2': [49.76333500885415, 19.031219041826027, 0]}]","[{'v1': []}, {'v2': ['F']}]","[{'v1': []}, {'v2': ['F']}]",1,1.5,2.3,,"[{'v1': []}, {'v2': [{'name': 'F', 'damage': 0.022296544035674472}]}]","{'v1': [], 'v2': [{'name': 'F', 'damage': 0.022296544035674472}]}"
"[{'v1': 22.02938031625445}, {'v2': 34.61991080084294}]","[{'v1': [34.73947618984087, 2.42624913071905, 0]}, {'v2': [49.76333500885415, 19.031219041826027, 0]}]","[{'v1': ['F', 'M', 'FL', 'FR', 'F']}, {'v2': ['FL']}]","[{'v1': ['F', 'FR', 'F']}, {'v2': ['FL']}]",1,1.7000000000000002,2.3,,"[{'v1': [{'name': 'F', 'damage': 0.41904761904761906}, {'name': 'M', 'damage': 0.0005831328814053503}, {'name': 'FL', 'damage': 0.028368794326241134}, {'name': 'FR', 'damage': 0.5106382978723404}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'FL', 'damage': 0.05333333333333334}]}]","{'v1': [{'name': 'F', 'damage': 0.41904761904761906}, {'name': 'FR', 'damage': 0.5106382978723404}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'FL', 'damage': 0.05333333333333334}]}"
"[{'v1': 11.509241892634984}, {'v2': 15.219178023020962}]","[{'v1': [34.73947618984087, 2.42624913071905, 0]}, {'v2': [49.77895394021204, 17.477248552377755]}]","[{'v1': ['FR', 'F']}, {'v2': ['F', 'F', 'FL', 'M']}]","[{'v1': ['FR', 'F']}, {'v2': ['F', 'FL', 'F']}]",1,1.7000000000000002,2.3,,"[{'v1': [{'name': 'FR', 'damage': 0.032}, {'name': 'F', 'damage': 0.04905239687848383}]}, {'v2': [{'name': 'F', 'damage': 0.20512820512820512}, {'name': 'F', 'damage': 0.13333333333333333}, {'name': 'FL', 'damage': 0.0851063829787234}, {'name': 'M', 'damage': 0.0020409650849187258}]}]","{'v1': [{'name': 'FR', 'damage': 0.032}, {'name': 'F', 'damage': 0.04905239687848383}], 'v2': [{'name': 'F', 'damage': 0.13333333333333333}, {'name': 'FL', 'damage': 0.0851063829787234}, {'name': 'F', 'damage': 0.20512820512820512}]}"
"[{'v1': 20.63328555431224}, {'v2': 15.219178023020962}]","[{'v1': [34.01754641887272, 2.0868081827408673]}, {'v2': [49.76626946208569, 18.739262209442064]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-4.95237152658103,2.3,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 13.263638705299877}, {'v2': 10.0}]","[{'v1': [33.99610875355027, 2.0767285022343636]}, {'v2': [49.76333500885415, 19.031219041826027, 0]}]","[{'v1': ['B', 'B']}, {'v2': ['F']}]","[{'v1': ['B', 'B']}, {'v2': ['F']}]",1,1.8,2.3,,"[{'v1': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.04743083003952569}]}, {'v2': [{'name': 'F', 'damage': 0.008918617614269788}]}]","{'v1': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.04743083003952569}], 'v2': [{'name': 'F', 'damage': 0.008918617614269788}]}"
"[{'v1': 13.263638705299877}, {'v2': 19.62978061105948}]","[{'v1': [33.89875441610591, 2.0309538993286234]}, {'v2': [49.74735703536208, 20.62091162187033]}]","[{'v1': ['F', 'FR', 'F']}, {'v2': ['ML', 'ML']}]","[{'v1': ['F', 'FR', 'F']}, {'v2': ['ML', 'ML']}]",1,1.7000000000000002,2.3,,"[{'v1': [{'name': 'F', 'damage': 0.09523809523809523}, {'name': 'FR', 'damage': 0.14184397163120568}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'ML', 'damage': 0.0058997050147492625}, {'name': 'ML', 'damage': 0.009009009009009009}]}]","{'v1': [{'name': 'F', 'damage': 0.09523809523809523}, {'name': 'FR', 'damage': 0.14184397163120568}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'ML', 'damage': 0.0058997050147492625}, {'name': 'ML', 'damage': 0.009009009009009009}]}"
"[{'v1': 13.353533224268723}, {'v2': 10.0}]","[{'v1': [33.864004801748976, 2.014615132715102]}, {'v2': [49.751451021666156, 20.21358965118182]}]","[{'v1': []}, {'v2': ['F']}]","[{'v1': []}, {'v2': ['F']}]",1,1.5,2.3,,"[{'v1': []}, {'v2': [{'name': 'F', 'damage': 0.11594202898550725}]}]","{'v1': [], 'v2': [{'name': 'F', 'damage': 0.11594202898550725}]}"
"[{'v1': 10.0}, {'v2': 10.0}]","[{'v1': [34.73947618984087, 2.42624913071905, 0]}, {'v2': [49.7617864442591, 19.18528999755092]}]","[{'v1': ['B']}, {'v2': ['F']}]","[{'v1': ['B']}, {'v2': ['F']}]",1,1.8,2.3,,"[{'v1': [{'name': 'B', 'damage': 0.03689064558629776}]}, {'v2': [{'name': 'F', 'damage': 0.026755852842809364}]}]","{'v1': [{'name': 'B', 'damage': 0.03689064558629776}], 'v2': [{'name': 'F', 'damage': 0.026755852842809364}]}"
"[{'v1': 13.263638705299877}, {'v2': 15.219178023020962}]","[{'v1': [34.73947618984087, 2.42624913071905, 0]}, {'v2': [49.75783962486516, 19.577969927106995]}]","[{'v1': ['FR', 'MR']}, {'v2': ['F', 'F', 'FL', 'M']}]","[{'v1': ['FR', 'MR']}, {'v2': ['F', 'FL', 'F']}]",1,1.9,2.3,,"[{'v1': [{'name': 'FR', 'damage': 0.05333333333333334}, {'name': 'MR', 'damage': 0.0058997050147492625}]}, {'v2': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.11428571428571428}, {'name': 'FL', 'damage': 0.14184397163120568}, {'name': 'M', 'damage': 0.00029156644070267514}]}]","{'v1': [{'name': 'FR', 'damage': 0.05333333333333334}, {'name': 'MR', 'damage': 0.0058997050147492625}], 'v2': [{'name': 'F', 'damage': 0.11428571428571428}, {'name': 'FL', 'damage': 0.14184397163120568}, {'name': 'F', 'damage': 1}]}"
