v1,v2,score
13.95906188562593,0.0,1.7000000000000002
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
27.0,47.0,2.0
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
29.0,39.0,2.2
