speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 13.95906188562593}, {'v2': 0.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['FL', 'M']}, {'v2': ['FR', 'FR']}]","[{'v1': ['FL', 'M']}, {'v2': ['FR', 'FR']}]",1,1.7000000000000002,2.3,,"[{'v1': [{'name': 'FL', 'damage': 1}, {'name': 'M', 'damage': 0.00029156644070267514}]}, {'v2': [{'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'FR', 'damage': 1}]}]","{'v1': [{'name': 'FL', 'damage': 1}, {'name': 'M', 'damage': 0.00029156644070267514}], 'v2': [{'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'FR', 'damage': 1}]}"
"[{'v1': 27.0}, {'v2': 47.0}]","[{'v1': [20.65433088826749, 4.045563509353523]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'FL', 'FL', 'F', 'M', 'F', 'F']}, {'v2': ['MR', 'B', 'M']}]","[{'v1': ['FL', 'F', 'FL']}, {'v2': ['MR', 'B', 'M']}]",1,2.0,2.3,,"[{'v1': [{'name': 'F', 'damage': 0.0380952380952381}, {'name': 'FL', 'damage': 0.2553191489361702}, {'name': 'FL', 'damage': 0.3626666666666667}, {'name': 'F', 'damage': 0.031007751937984496}, {'name': 'M', 'damage': 0.004665063051242802}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'F', 'damage': 0.29431438127090304}]}, {'v2': [{'name': 'MR', 'damage': 0.027777777777777776}, {'name': 'B', 'damage': 0.1844532279314888}, {'name': 'M', 'damage': 0.0034987972884321017}]}]","{'v1': [{'name': 'FL', 'damage': 0.2553191489361702}, {'name': 'F', 'damage': 0.29431438127090304}, {'name': 'FL', 'damage': 0.3626666666666667}], 'v2': [{'name': 'MR', 'damage': 0.027777777777777776}, {'name': 'B', 'damage': 0.1844532279314888}, {'name': 'M', 'damage': 0.0034987972884321017}]}"
"[{'v1': 19.0}, {'v2': 10.0}]","[{'v1': [17.657494664850606, 4.1833047523289695]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['FR', 'M', 'FR', 'F', 'F']}, {'v2': ['B', 'B']}]","[{'v1': ['FR', 'FR', 'F']}, {'v2': ['B', 'B']}]",1,1.9,2.3,,"[{'v1': [{'name': 'FR', 'damage': 0.13866666666666666}, {'name': 'M', 'damage': 0.002332531525621401}, {'name': 'FR', 'damage': 0.22695035460992907}, {'name': 'F', 'damage': 0.00903954802259887}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.152832674571805}]}]","{'v1': [{'name': 'FR', 'damage': 0.13866666666666666}, {'name': 'FR', 'damage': 0.22695035460992907}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.152832674571805}]}"
"[{'v1': 30.0}, {'v2': 34.0}]","[{'v1': [25.649057927295633, 3.8159947710611077]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.62245300603229,2.3,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 36.0}, {'v2': 17.0}]","[{'v1': [23.651167111684376, 3.907822266378072]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.686669102281321,2.3,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 39.0}, {'v2': 47.0}]","[{'v1': [24.650112519490005, 3.8619085187195883]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-4.6598548231118295,2.3,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 47.0}, {'v2': 12.0}]","[{'v1': [24.650112519490005, 3.8619085187195896]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-4.692329666749052,2.3,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 45.0}, {'v2': 33.0}]","[{'v1': [19.655385480461863, 4.091477257012007]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['M', 'F', 'F', 'FL', 'F', 'FL', 'FR', 'F']}, {'v2': ['B', 'B', 'B', 'M']}]","[{'v1': ['F', 'FL', 'F', 'F']}, {'v2': ['B', 'B']}]",1,1.6,2.3,,"[{'v1': [{'name': 'M', 'damage': 0.01486988847583643}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.041666666666666664}, {'name': 'FL', 'damage': 0.042666666666666665}, {'name': 'F', 'damage': 0.3178294573643411}, {'name': 'FL', 'damage': 0.3120567375886525}, {'name': 'FR', 'damage': 0.11347517730496454}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.032520325203252036}, {'name': 'B', 'damage': 0.5111989459815547}, {'name': 'B', 'damage': 0.37333333333333335}, {'name': 'M', 'damage': 0.011079524746701654}]}]","{'v1': [{'name': 'F', 'damage': 0.3178294573643411}, {'name': 'FL', 'damage': 0.3120567375886525}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.37333333333333335}, {'name': 'B', 'damage': 0.5111989459815547}]}"
"[{'v1': 13.0}, {'v2': 34.0}]","[{'v1': [20.65433088826749, 4.0455635093535225]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['FL', 'M', 'F', 'FL', 'F']}, {'v2': ['M', 'MR']}]","[{'v1': ['FL', 'F']}, {'v2': ['M', 'MR']}]",1,2.0,2.3,,"[{'v1': [{'name': 'FL', 'damage': 0.05673758865248227}, {'name': 'M', 'damage': 0.0011662657628107006}, {'name': 'F', 'damage': 0.01904761904761905}, {'name': 'FL', 'damage': 0.010666666666666666}, {'name': 'F', 'damage': 0.2408026755852843}]}, {'v2': [{'name': 'M', 'damage': 0.0005831328814053503}, {'name': 'MR', 'damage': 0.027777777777777776}]}]","{'v1': [{'name': 'FL', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 0.2408026755852843}], 'v2': [{'name': 'M', 'damage': 0.0005831328814053503}, {'name': 'MR', 'damage': 0.027777777777777776}]}"
"[{'v1': 25.0}, {'v2': 34.0}]","[{'v1': [20.65433088826749, 4.045563509353523]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['MR', 'B', 'M']}]","[{'v1': ['FL', 'FL', 'F']}, {'v2': ['MR', 'B', 'M']}]",1,2.0,2.3,,"[{'v1': [{'name': 'FL', 'damage': 0.19858156028368795}, {'name': 'M', 'damage': 0.004665063051242802}, {'name': 'F', 'damage': 0.023255813953488372}, {'name': 'F', 'damage': 0.0380952380952381}, {'name': 'FL', 'damage': 0.3413333333333333}, {'name': 'F', 'damage': 0.27647714604236345}]}, {'v2': [{'name': 'MR', 'damage': 0.027777777777777776}, {'name': 'B', 'damage': 0.1844532279314888}, {'name': 'M', 'damage': 0.0034987972884321017}]}]","{'v1': [{'name': 'FL', 'damage': 0.19858156028368795}, {'name': 'FL', 'damage': 0.3413333333333333}, {'name': 'F', 'damage': 0.27647714604236345}], 'v2': [{'name': 'MR', 'damage': 0.027777777777777776}, {'name': 'B', 'damage': 0.1844532279314888}, {'name': 'M', 'damage': 0.0034987972884321017}]}"
