v1,v2,score
20.0,20.0,-3.4611526766199385
20.0,20.0,-3.4611526766199385
20.0,20.0,-3.4611526766199385
20.0,20.0,-3.4611526766199385
20.0,20.0,-3.4611526766199385
20.0,20.0,-3.4611526766199385
20.0,20.0,-3.4611526766199385
20.0,20.0,-3.4611526766199385
20.0,20.0,-3.4611526766199385
20.0,20.0,-3.4611526766199385
20.0,20.0,-3.4611526766199385
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
20.0,20.0,1.1
