speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': [86.84551724137931, 2.0, 0]}, {'v2': [2.0, -86.84551724137933, 0]}]","[{'v1': ['ML']}, {'v2': ['F', 'F', 'FL', 'M']}]","[{'v1': ['ML']}, {'v2': ['FL', 'F']}]",1,1.1,1.7,,"[{'v1': [{'name': 'ML', 'damage': 0.009009009009009009}]}, {'v2': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.01904761904761905}, {'name': 'FL', 'damage': 0.22695035460992907}, {'name': 'M', 'damage': 0.00029156644070267514}]}]","{'v1': [{'name': 'ML', 'damage': 0.009009009009009009}], 'v2': [{'name': 'FL', 'damage': 0.22695035460992907}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 34.0}, {'v2': 34.0}]","[{'v1': [86.84551724137931, 3.0]}, {'v2': [2.0, -86.84551724137933]}]","[{'v1': ['ML']}, {'v2': ['FL', 'FL', 'M', 'F', 'F', 'FR', 'F']}]","[{'v1': ['ML']}, {'v2': ['FL', 'F', 'F', 'FR', 'F']}]",1,1.3,1.7,,"[{'v1': [{'name': 'ML', 'damage': 0.0990990990990991}]}, {'v2': [{'name': 'FL', 'damage': 0.22695035460992907}, {'name': 'FL', 'damage': 0.032}, {'name': 'M', 'damage': 0.0037903637291347766}, {'name': 'F', 'damage': 0.12403100775193798}, {'name': 'F', 'damage': 1}, {'name': 'FR', 'damage': 0.7943262411347518}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'ML', 'damage': 0.0990990990990991}], 'v2': [{'name': 'FL', 'damage': 0.22695035460992907}, {'name': 'F', 'damage': 0.12403100775193798}, {'name': 'F', 'damage': 1}, {'name': 'FR', 'damage': 0.7943262411347518}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 38.0}, {'v2': 38.0}]","[{'v1': [86.84551724137931, 3.0]}, {'v2': [-2.0, -86.84551724137933]}]","[{'v1': ['ML', 'F', 'FL']}, {'v2': ['FR', 'F', 'FL', 'FL', 'F', 'M', 'F', 'F']}]","[{'v1': ['ML', 'F', 'FL']}, {'v2': ['FL', 'F', 'FR', 'F', 'F']}]",1,1.5,1.7,,"[{'v1': [{'name': 'ML', 'damage': 0.02359882005899705}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'FL', 'damage': 0.13866666666666666}]}, {'v2': [{'name': 'FR', 'damage': 0.7092198581560284}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.3404255319148936}, {'name': 'FL', 'damage': 0.096}, {'name': 'F', 'damage': 0.31007751937984496}, {'name': 'M', 'damage': 0.005831328814053503}, {'name': 'F', 'damage': 0.00903954802259887}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'ML', 'damage': 0.02359882005899705}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'FL', 'damage': 0.13866666666666666}], 'v2': [{'name': 'FL', 'damage': 0.3404255319148936}, {'name': 'F', 'damage': 0.31007751937984496}, {'name': 'FR', 'damage': 0.7092198581560284}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 16.0}, {'v2': 24.0}]","[{'v1': [86.84551724137931, 3.0]}, {'v2': [3.0, -86.84551724137933]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-12.588186373610636,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 34.0}, {'v2': 44.0}]","[{'v1': [86.84551724137931, -2.0]}, {'v2': [5.0, -86.84551724137933]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.876473198114999,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 45.0}, {'v2': 19.0}]","[{'v1': [86.84551724137931, 3.0]}, {'v2': [5.0, -86.84551724137933]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-29.610593945174713,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 43.0}, {'v2': 19.0}]","[{'v1': [86.84551724137931, 6.0]}, {'v2': [6.0, -86.84551724137933]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-30.555221231710334,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 44.0}, {'v2': 29.0}]","[{'v1': [86.84551724137931, 2.0]}, {'v2': [4.0, -86.84551724137933]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-27.864726028355772,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 41.0}, {'v2': 33.0}]","[{'v1': [86.84551724137931, 5.0]}, {'v2': [-3.0, -86.84551724137933]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-13.882078565920512,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 32.0}, {'v2': 44.0}]","[{'v1': [86.84551724137931, -1.0]}, {'v2': [-3.0, -86.84551724137933]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-20.014235710697445,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
