v1,v2,score
53.67831956336226,48.53414572917061,1.6
46.0,48.0,1.7
42.0,32.0,1.7999999999999998
42.0,32.0,1.7999999999999998
42.0,32.0,1.7999999999999998
42.0,32.0,1.7999999999999998
42.0,32.0,1.7999999999999998
42.0,32.0,1.7999999999999998
42.0,32.0,1.7999999999999998
42.0,32.0,1.7999999999999998
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
29.0,32.0,1.9
