v1,v2,score
53.67831956336226,48.53414572917061,1.6
21.0,17.0,1.7
21.0,17.0,1.7
21.0,17.0,1.7
21.0,17.0,1.7
21.0,17.0,1.7
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
43.0,33.0,1.9
