speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 53.67831956336226}, {'v2': 48.53414572917061}]","[{'v1': [1.0374625449426595, 9.394799712536305]}, {'v2': [79.59643192032293, 9.567710136693414]}]","[{'v1': ['FL', 'F', 'FL', 'FL', 'F', 'M', 'F']}, {'v2': ['B', 'B', 'M']}]","[{'v1': ['FL', 'F', 'FL', 'FL', 'F']}, {'v2': ['B', 'B', 'M']}]",1,1.6,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.48226950354609927}, {'name': 'F', 'damage': 0.3238095238095238}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 0.06201550387596899}, {'name': 'M', 'damage': 0.011079524746701654}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 1}, {'name': 'B', 'damage': 1}, {'name': 'M', 'damage': 0.006414461695458853}]}]","{'v1': [{'name': 'FL', 'damage': 0.48226950354609927}, {'name': 'F', 'damage': 0.3238095238095238}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 1}, {'name': 'B', 'damage': 1}, {'name': 'M', 'damage': 0.006414461695458853}]}"
"[{'v1': 53.67831956336226}, {'v2': 48.53414572917061}]","[{'v1': [1.037242480048083, 9.085532651210064]}, {'v2': [79.59643192032293, 9.567710136693414]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.8427099262315596,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 53.67831956336226}, {'v2': 48.53414572917061}]","[{'v1': [1.0374625449426595, 9.394799712536305]}, {'v2': [79.5969876718857, 10.012837888391154]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.8502739485919335,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 53.67831956336226}, {'v2': 48.53414572917061}]","[{'v1': [1.0377128831151279, 9.746611168361918]}, {'v2': [79.5970707572388, 10.07938488330697]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.7672486924075783,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 41.83675464135223}, {'v2': 48.53414572917061}]","[{'v1': [1.0365027274330514, 8.04592513998194]}, {'v2': [79.59643192032293, 9.567710136693414]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-6.771218362229447,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 43.581213141248156}, {'v2': 48.53414572917061}]","[{'v1': [1.0374625449426595, 9.394799712536305]}, {'v2': [79.5987133951772, 11.39505141734123]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-6.958260068091639,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 53.67831956336226}, {'v2': 50.0}]","[{'v1': [1.0380064464498588, 10.159168882395226]}, {'v2': [79.59643192032293, 9.567710136693414]}]","[{'v1': ['F', 'FL', 'F', 'FL', 'FL', 'M', 'F', 'F']}, {'v2': ['B', 'ML', 'ML', 'M']}]","[{'v1': ['F', 'F', 'FL', 'FL', 'FL', 'F']}, {'v2': ['ML', 'ML']}]",1,1.7,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.9904761904761905}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 0.3023255813953488}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'M', 'damage': 0.03061447627378089}, {'name': 'F', 'damage': 0.022598870056497175}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.003755868544600939}, {'name': 'ML', 'damage': 0.04129793510324484}, {'name': 'ML', 'damage': 0.15315315315315314}, {'name': 'M', 'damage': 0.0011662657628107006}]}]","{'v1': [{'name': 'F', 'damage': 0.3023255813953488}, {'name': 'F', 'damage': 0.9904761904761905}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'ML', 'damage': 0.04129793510324484}, {'name': 'ML', 'damage': 0.15315315315315314}]}"
"[{'v1': 53.67831956336226}, {'v2': 50.0}]","[{'v1': [1.037962883377252, 10.097947743633496]}, {'v2': [79.59643192032293, 9.567710136693414]}]","[{'v1': ['F', 'FL', 'F', 'FL', 'FL', 'M', 'F', 'F']}, {'v2': ['ML', 'B', 'ML']}]","[{'v1': ['F', 'F', 'FL', 'FL', 'FL', 'F']}, {'v2': ['ML', 'B', 'ML']}]",1,1.7,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.9523809523809523}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 0.27906976744186046}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'M', 'damage': 0.03178074203659159}, {'name': 'F', 'damage': 0.031638418079096044}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'ML', 'damage': 0.058997050147492625}, {'name': 'B', 'damage': 0.007511737089201878}, {'name': 'ML', 'damage': 0.0990990990990991}]}]","{'v1': [{'name': 'F', 'damage': 0.27906976744186046}, {'name': 'F', 'damage': 0.9523809523809523}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'ML', 'damage': 0.058997050147492625}, {'name': 'B', 'damage': 0.007511737089201878}, {'name': 'ML', 'damage': 0.0990990990990991}]}"
"[{'v1': 53.67831956336226}, {'v2': 50.0}]","[{'v1': [1.0375913498616296, 9.575815039178675]}, {'v2': [79.59475924732617, 8.227987101703745]}]","[{'v1': ['F', 'M', 'F', 'FL', 'FR', 'F', 'FL', 'F', 'F', 'FL']}, {'v2': ['M', 'FL', 'FL', 'FL', 'ML', 'F', 'ML']}]","[{'v1': ['F', 'F', 'F', 'FL', 'F', 'FL', 'FL']}, {'v2': ['FL', 'FL', 'FL', 'ML']}]",1,1.7,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.9142857142857143}, {'name': 'M', 'damage': 0.033821707121510315}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 0.40310077519379844}, {'name': 'F', 'damage': 0.031638418079096044}, {'name': 'FL', 'damage': 1}]}, {'v2': [{'name': 'M', 'damage': 0.0067060281361615275}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 0.8853333333333333}, {'name': 'FL', 'damage': 1}, {'name': 'ML', 'damage': 1}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'ML', 'damage': 0.009009009009009009}]}]","{'v1': [{'name': 'F', 'damage': 0.40310077519379844}, {'name': 'F', 'damage': 0.9142857142857143}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 1}], 'v2': [{'name': 'FL', 'damage': 0.8853333333333333}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 1}, {'name': 'ML', 'damage': 1}]}"
"[{'v1': 50.0}, {'v2': 50.0}]","[{'v1': [1.0363496321403687, 7.830773462282511]}, {'v2': [79.59643192032293, 9.567710136693414]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.618752442741911,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
