speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 54.241366197211995}, {'v2': 11.263893700269636}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['F', 'F', 'M', 'FR', 'F', 'FL', 'FR', 'FL', 'F']}, {'v2': ['M', 'B', 'B', 'ML', 'B']}]","[{'v1': ['F', 'F', 'F']}, {'v2': ['B', 'ML', 'B']}]",1,1.6,2.0,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.25}, {'name': 'M', 'damage': 0.01603615423864713}, {'name': 'FR', 'damage': 0.22695035460992907}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.14184397163120568}, {'name': 'FR', 'damage': 0.021333333333333333}, {'name': 'FL', 'damage': 0.05333333333333334}, {'name': 'F', 'damage': 0.6356589147286822}]}, {'v2': [{'name': 'M', 'damage': 0.010496391865296304}, {'name': 'B', 'damage': 0.01951219512195122}, {'name': 'B', 'damage': 0.4177777777777778}, {'name': 'ML', 'damage': 0.2222222222222222}, {'name': 'B', 'damage': 0.6324110671936759}]}]","{'v1': [{'name': 'F', 'damage': 0.6356589147286822}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.4177777777777778}, {'name': 'ML', 'damage': 0.2222222222222222}, {'name': 'B', 'damage': 0.6324110671936759}]}"
"[{'v1': 43.60162068716195}, {'v2': 11.263893700269636}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['F', 'F', 'M', 'F', 'FR', 'F']}, {'v2': ['B', 'B', 'ML', 'M']}]","[{'v1': ['F', 'F', 'F']}, {'v2': ['B', 'B', 'ML', 'M']}]",1,1.6,2.0,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.041666666666666664}, {'name': 'M', 'damage': 0.01078795830599898}, {'name': 'F', 'damage': 0.17054263565891473}, {'name': 'FR', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.36444444444444446}, {'name': 'B', 'damage': 1}, {'name': 'ML', 'damage': 1}, {'name': 'M', 'damage': 0.01020482542459363}]}]","{'v1': [{'name': 'F', 'damage': 0.17054263565891473}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.36444444444444446}, {'name': 'B', 'damage': 1}, {'name': 'ML', 'damage': 1}, {'name': 'M', 'damage': 0.01020482542459363}]}"
"[{'v1': 29.148606496683783}, {'v2': 11.263893700269636}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['F', 'M', 'F', 'FL', 'F']}, {'v2': ['B', 'B', 'ML', 'M']}]","[{'v1': ['F', 'F', 'F']}, {'v2': ['B', 'ML', 'B']}]",1,1.6,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.13333333333333333}, {'name': 'M', 'damage': 0.002624097966324076}, {'name': 'F', 'damage': 0.07751937984496124}, {'name': 'FL', 'damage': 0.028368794326241134}, {'name': 'F', 'damage': 0.8740245261984393}]}, {'v2': [{'name': 'B', 'damage': 0.17777777777777778}, {'name': 'B', 'damage': 0.2318840579710145}, {'name': 'ML', 'damage': 0.1388888888888889}, {'name': 'M', 'damage': 0.0029156644070267514}]}]","{'v1': [{'name': 'F', 'damage': 0.13333333333333333}, {'name': 'F', 'damage': 0.07751937984496124}, {'name': 'F', 'damage': 0.8740245261984393}], 'v2': [{'name': 'B', 'damage': 0.17777777777777778}, {'name': 'ML', 'damage': 0.1388888888888889}, {'name': 'B', 'damage': 0.2318840579710145}]}"
"[{'v1': 48.09834213715221}, {'v2': 11.263893700269636}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['M', 'F', 'F', 'FL', 'F', 'FL', 'FR', 'F']}, {'v2': ['B', 'B', 'ML', 'M']}]","[{'v1': ['F', 'F', 'F']}, {'v2': ['B', 'ML', 'B']}]",1,1.6,2.0,,"[{'v1': [{'name': 'M', 'damage': 0.01137109118740433}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.125}, {'name': 'FL', 'damage': 0.021333333333333333}, {'name': 'F', 'damage': 0.5736434108527132}, {'name': 'FL', 'damage': 0.0851063829787234}, {'name': 'FR', 'damage': 0.14184397163120568}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.8}, {'name': 'B', 'damage': 0.4163372859025033}, {'name': 'ML', 'damage': 0.3055555555555556}, {'name': 'M', 'damage': 0.007289161017566878}]}]","{'v1': [{'name': 'F', 'damage': 0.5736434108527132}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.4163372859025033}, {'name': 'ML', 'damage': 0.3055555555555556}, {'name': 'B', 'damage': 0.8}]}"
"[{'v1': 54.241366197211995}, {'v2': 10.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['F', 'FR', 'M', 'F', 'FR', 'F', 'F']}, {'v2': ['B', 'B', 'B', 'M']}]","[{'v1': ['F', 'F', 'FR', 'FR', 'F']}, {'v2': ['B', 'B']}]",1,1.6,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.8952380952380953}, {'name': 'FR', 'damage': 0.736}, {'name': 'M', 'damage': 0.024200014578322035}, {'name': 'F', 'damage': 0.2868217054263566}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 0.022598870056497175}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.152832674571805}, {'name': 'B', 'damage': 0.007511737089201878}, {'name': 'M', 'damage': 0.008163860339674903}]}]","{'v1': [{'name': 'F', 'damage': 0.2868217054263566}, {'name': 'F', 'damage': 0.8952380952380953}, {'name': 'FR', 'damage': 0.736}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.152832674571805}]}"
"[{'v1': 50.0}, {'v2': 10.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['FR', 'F', 'F', 'M', 'F', 'FR', 'F', 'F']}, {'v2': ['ML', 'B', 'B', 'M', 'B']}]","[{'v1': ['F', 'FR', 'FR', 'F', 'F']}, {'v2': ['ML', 'B', 'B']}]",1,1.4,2.0,,"[{'v1': [{'name': 'FR', 'damage': 0.7659574468085106}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.125}, {'name': 'M', 'damage': 0.018951818645673885}, {'name': 'F', 'damage': 0.32558139534883723}, {'name': 'FR', 'damage': 0.224}, {'name': 'F', 'damage': 0.00903954802259887}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'ML', 'damage': 0.08333333333333333}, {'name': 'B', 'damage': 0.07111111111111111}, {'name': 'B', 'damage': 0.152832674571805}, {'name': 'M', 'damage': 0.0032072308477294263}, {'name': 'B', 'damage': 0.003755868544600939}]}]","{'v1': [{'name': 'F', 'damage': 0.32558139534883723}, {'name': 'FR', 'damage': 0.224}, {'name': 'FR', 'damage': 0.7659574468085106}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'ML', 'damage': 0.08333333333333333}, {'name': 'B', 'damage': 0.07111111111111111}, {'name': 'B', 'damage': 0.152832674571805}]}"
"[{'v1': 50.0}, {'v2': 10.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['FR', 'F', 'F', 'M', 'F', 'FR', 'F', 'F']}, {'v2': ['B', 'B', 'ML', 'M']}]","[{'v1': ['FR', 'F', 'FR', 'F', 'F']}, {'v2': ['B', 'ML', 'B']}]",1,1.4,2.0,,"[{'v1': [{'name': 'FR', 'damage': 0.19858156028368795}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.08333333333333333}, {'name': 'M', 'damage': 0.016619287120052482}, {'name': 'F', 'damage': 0.3488372093023256}, {'name': 'FR', 'damage': 0.20266666666666666}, {'name': 'F', 'damage': 0.00903954802259887}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.08888888888888889}, {'name': 'B', 'damage': 0.13175230566534915}, {'name': 'ML', 'damage': 0.08333333333333333}, {'name': 'M', 'damage': 0.0032072308477294263}]}]","{'v1': [{'name': 'FR', 'damage': 0.19858156028368795}, {'name': 'F', 'damage': 0.3488372093023256}, {'name': 'FR', 'damage': 0.20266666666666666}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.08888888888888889}, {'name': 'ML', 'damage': 0.08333333333333333}, {'name': 'B', 'damage': 0.13175230566534915}]}"
"[{'v1': 54.241366197211995}, {'v2': 11.263893700269636}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['FR', 'FL', 'F', 'M', 'F', 'F', 'FR', 'F']}, {'v2': ['M', 'B', 'B', 'ML', 'B']}]","[{'v1': ['F', 'F', 'F', 'F']}, {'v2': ['ML', 'B', 'B']}]",1,1.6,2.0,,"[{'v1': [{'name': 'FR', 'damage': 0.16}, {'name': 'FL', 'damage': 0.11347517730496454}, {'name': 'F', 'damage': 0.2916666666666667}, {'name': 'M', 'damage': 0.022159049493403308}, {'name': 'F', 'damage': 0.3023255813953488}, {'name': 'F', 'damage': 1}, {'name': 'FR', 'damage': 0.11347517730496454}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'M', 'damage': 0.01253735695021503}, {'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.36444444444444446}, {'name': 'ML', 'damage': 0.1388888888888889}, {'name': 'B', 'damage': 0.4005270092226614}]}]","{'v1': [{'name': 'F', 'damage': 0.2916666666666667}, {'name': 'F', 'damage': 0.3023255813953488}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'ML', 'damage': 0.1388888888888889}, {'name': 'B', 'damage': 0.36444444444444446}, {'name': 'B', 'damage': 0.4005270092226614}]}"
"[{'v1': 54.241366197211995}, {'v2': 10.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['F', 'FR', 'M', 'F', 'FR', 'F', 'F']}, {'v2': ['M', 'B', 'ML', 'B', 'B']}]","[{'v1': ['F', 'FR', 'FR', 'F']}, {'v2': ['ML', 'B']}]",1,1.4,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.8}, {'name': 'FR', 'damage': 0.6293333333333333}, {'name': 'M', 'damage': 0.018077119323565857}, {'name': 'F', 'damage': 0.20930232558139536}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 0.022598870056497175}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'M', 'damage': 0.007872293898972229}, {'name': 'B', 'damage': 0.008888888888888889}, {'name': 'ML', 'damage': 0.011799410029498525}, {'name': 'B', 'damage': 0.13175230566534915}, {'name': 'B', 'damage': 0.007511737089201878}]}]","{'v1': [{'name': 'F', 'damage': 0.8}, {'name': 'FR', 'damage': 0.6293333333333333}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'ML', 'damage': 0.011799410029498525}, {'name': 'B', 'damage': 0.13175230566534915}]}"
"[{'v1': 54.241366197211995}, {'v2': 11.263893700269636}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['F', 'F', 'M', 'FR', 'F', 'FL', 'FR', 'FL', 'F']}, {'v2': ['M', 'B', 'B', 'ML', 'B']}]","[{'v1': ['FL', 'F', 'F', 'F']}, {'v2': ['B', 'B']}]",1,1.9,2.0,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.16666666666666666}, {'name': 'M', 'damage': 0.015161454916539106}, {'name': 'FR', 'damage': 0.14184397163120568}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.3404255319148936}, {'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'FL', 'damage': 0.05333333333333334}, {'name': 'F', 'damage': 0.6434108527131783}]}, {'v2': [{'name': 'M', 'damage': 0.008746993221080253}, {'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.8177777777777778}, {'name': 'ML', 'damage': 0.16666666666666666}, {'name': 'B', 'damage': 0.43741765480895917}]}]","{'v1': [{'name': 'FL', 'damage': 0.3404255319148936}, {'name': 'F', 'damage': 0.6434108527131783}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.43741765480895917}, {'name': 'B', 'damage': 0.8177777777777778}]}"
