speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 54.241366197211995}, {'v2': 11.263893700269636}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['F', 'F', 'M', 'FR', 'F', 'FL', 'FR', 'FL', 'F']}, {'v2': ['M', 'B', 'B', 'ML', 'B']}]","[{'v1': ['FL', 'F', 'F', 'F']}, {'v2': ['B', 'B']}]",1,1.9,2.0,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.16666666666666666}, {'name': 'M', 'damage': 0.015161454916539106}, {'name': 'FR', 'damage': 0.1702127659574468}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.3404255319148936}, {'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'FL', 'damage': 0.07466666666666667}, {'name': 'F', 'damage': 0.6589147286821705}]}, {'v2': [{'name': 'M', 'damage': 0.009038559661782929}, {'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.7911111111111111}, {'name': 'ML', 'damage': 0.1388888888888889}, {'name': 'B', 'damage': 0.3952569169960474}]}]","{'v1': [{'name': 'FL', 'damage': 0.3404255319148936}, {'name': 'F', 'damage': 0.6589147286821705}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.3952569169960474}, {'name': 'B', 'damage': 0.7911111111111111}]}"
"[{'v1': 22.0}, {'v2': 17.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['F', 'M', 'FL', 'F', 'F']}, {'v2': ['B', 'B']}]","[{'v1': ['F', 'F', 'FL']}, {'v2': ['B', 'B']}]",1,1.9,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.11428571428571428}, {'name': 'M', 'damage': 0.00029156644070267514}, {'name': 'FL', 'damage': 0.19858156028368795}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'F', 'damage': 0.1516164994425864}]}, {'v2': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.14756258234519104}]}]","{'v1': [{'name': 'F', 'damage': 0.11428571428571428}, {'name': 'F', 'damage': 0.1516164994425864}, {'name': 'FL', 'damage': 0.19858156028368795}], 'v2': [{'name': 'B', 'damage': 0.008888888888888889}, {'name': 'B', 'damage': 0.14756258234519104}]}"
"[{'v1': 49.0}, {'v2': 19.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['M', 'FL', 'FL', 'F', 'F']}, {'v2': ['B', 'B', 'M']}]","[{'v1': ['FL', 'FL']}, {'v2': ['B', 'B', 'M']}]",1,1.9,2.0,,"[{'v1': [{'name': 'M', 'damage': 0.0032072308477294263}, {'name': 'FL', 'damage': 1}, {'name': 'FL', 'damage': 0.5546666666666666}, {'name': 'F', 'damage': 0.02711864406779661}, {'name': 'F', 'damage': 0.1516164994425864}]}, {'v2': [{'name': 'B', 'damage': 0.2311111111111111}, {'name': 'B', 'damage': 1}, {'name': 'M', 'damage': 0.0008746993221080254}]}]","{'v1': [{'name': 'FL', 'damage': 0.5546666666666666}, {'name': 'FL', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.2311111111111111}, {'name': 'B', 'damage': 1}, {'name': 'M', 'damage': 0.0008746993221080254}]}"
"[{'v1': 33.0}, {'v2': 16.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['B', 'B', 'B']}]","[{'v1': ['FL', 'F', 'F']}, {'v2': ['B', 'B', 'B']}]",1,1.9,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.3971631205673759}, {'name': 'M', 'damage': 0.006997594576864203}, {'name': 'F', 'damage': 0.015503875968992248}, {'name': 'F', 'damage': 0.6857142857142857}, {'name': 'FL', 'damage': 0.042666666666666665}, {'name': 'F', 'damage': 0.6510590858416946}]}, {'v2': [{'name': 'B', 'damage': 0.032520325203252036}, {'name': 'B', 'damage': 0.05333333333333334}, {'name': 'B', 'damage': 0.23715415019762845}]}]","{'v1': [{'name': 'FL', 'damage': 0.3971631205673759}, {'name': 'F', 'damage': 0.6857142857142857}, {'name': 'F', 'damage': 0.6510590858416946}], 'v2': [{'name': 'B', 'damage': 0.032520325203252036}, {'name': 'B', 'damage': 0.05333333333333334}, {'name': 'B', 'damage': 0.23715415019762845}]}"
"[{'v1': 35.0}, {'v2': 48.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-17.275042251685086,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 47.0}, {'v2': 13.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': ['M', 'F', 'F', 'FL', 'F', 'FL', 'FR', 'F']}, {'v2': ['M', 'B', 'B', 'ML', 'B']}]","[{'v1': ['FL', 'F', 'F', 'F']}, {'v2': ['B', 'B']}]",1,1.9,2.0,,"[{'v1': [{'name': 'M', 'damage': 0.010496391865296304}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.041666666666666664}, {'name': 'FL', 'damage': 0.010666666666666666}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.7659574468085106}, {'name': 'FR', 'damage': 0.1702127659574468}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'M', 'damage': 0.008746993221080253}, {'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.9422222222222222}, {'name': 'ML', 'damage': 0.027777777777777776}, {'name': 'B', 'damage': 0.31620553359683795}]}]","{'v1': [{'name': 'FL', 'damage': 0.7659574468085106}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.31620553359683795}, {'name': 'B', 'damage': 0.9422222222222222}]}"
"[{'v1': 29.0}, {'v2': 44.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-15.250279630559069,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 17.0}, {'v2': 35.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.621325851328479,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 11.0}, {'v2': 39.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-14.50974213754843,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 16.0}, {'v2': 27.0}]","[{'v1': [78.00993694367274, 9.67254537305994]}, {'v2': [7.669355502899595, 27.01444624901947]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-6.779195385454345,2.0,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
