v1,v2,score
29.783780515591747,53.54185745883422,-4.1470329741064615
29.783780515591747,53.54185745883422,-4.1470329741064615
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
18.0,17.0,1.8
