v1,v2,score
29.783780515591747,53.54185745883422,-3.7355265714612864
29.783780515591747,53.54185745883422,-3.7355265714612864
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
18.0,46.0,1.8
