speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 29.783780515591747}, {'v2': 53.54185745883422}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37871135306165, 25.477228635688974]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.5917053568049497,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 37.775717699009874}, {'v2': 53.54185745883422}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37871135306165, 25.477228635688974]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.988772497780243,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.490811939309065}, {'v2': 53.54185745883422}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': ['B', 'MR', 'B']}, {'v2': ['F', 'FR', 'M', 'F', 'FR', 'F']}]","[{'v1': ['B', 'MR', 'B']}, {'v2': ['F', 'FR', 'F']}]",1,1.8,2.1,,"[{'v1': [{'name': 'B', 'damage': 0.10666666666666667}, {'name': 'MR', 'damage': 1}, {'name': 'B', 'damage': 1}]}, {'v2': [{'name': 'F', 'damage': 0.6285714285714286}, {'name': 'FR', 'damage': 0.032}, {'name': 'M', 'damage': 0.008163860339674903}, {'name': 'F', 'damage': 0.06201550387596899}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'B', 'damage': 0.10666666666666667}, {'name': 'MR', 'damage': 1}, {'name': 'B', 'damage': 1}], 'v2': [{'name': 'F', 'damage': 0.6285714285714286}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 50.0}, {'v2': 53.54185745883422}]","[{'v1': [38.64542831782908, 0.3001480274412457]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-13.022952149312117,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.490811939309065}, {'v2': 50.0}]","[{'v1': [38.51772788667016, 0.303234741109248]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.8125554092465412,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.490811939309065}, {'v2': 50.0}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.109781421182754,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.490811939309065}, {'v2': 53.54185745883422}]","[{'v1': [37.40002875404217, 0.33025122929246786]}, {'v2': [84.3787751711211, 25.57823061758963]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-4.025600674120315,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.490811939309065}, {'v2': 53.54185745883422}]","[{'v1': [39.620473406249026, 0.2765797044995727]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': ['B', 'B', 'B', 'MR', 'B']}, {'v2': ['F', 'FR', 'M', 'F', 'FR', 'F', 'F']}]","[{'v1': ['B', 'B', 'B']}, {'v2': ['F', 'FR', 'FR', 'F']}]",1,1.7,2.1,,"[{'v1': [{'name': 'B', 'damage': 1}, {'name': 'B', 'damage': 1}, {'name': 'B', 'damage': 0.044444444444444446}, {'name': 'MR', 'damage': 0.05555555555555555}, {'name': 'B', 'damage': 0.12648221343873517}]}, {'v2': [{'name': 'F', 'damage': 0.47619047619047616}, {'name': 'FR', 'damage': 0.5226666666666666}, {'name': 'M', 'damage': 0.008163860339674903}, {'name': 'F', 'damage': 0.031007751937984496}, {'name': 'FR', 'damage': 0.425531914893617}, {'name': 'F', 'damage': 0.00903954802259887}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'B', 'damage': 0.12648221343873517}, {'name': 'B', 'damage': 1}, {'name': 'B', 'damage': 1}], 'v2': [{'name': 'F', 'damage': 0.47619047619047616}, {'name': 'FR', 'damage': 0.5226666666666666}, {'name': 'FR', 'damage': 0.425531914893617}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 29.490811939309065}, {'v2': 50.0}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37896511292698, 25.87884299909982]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-4.040303741452493,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 35.44079515691095}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.463740068602327,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.490811939309065}, {'v2': 53.54185745883422}]","[{'v1': [38.89059050012253, 0.29422208457562854]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': ['B', 'B', 'B']}, {'v2': ['F', 'FR', 'M', 'F', 'FR', 'F']}]","[{'v1': ['B', 'B', 'B']}, {'v2': ['F', 'FR', 'F']}]",1,1.7,2.1,,"[{'v1': [{'name': 'B', 'damage': 0.01951219512195122}, {'name': 'B', 'damage': 0.14222222222222222}, {'name': 'B', 'damage': 1}]}, {'v2': [{'name': 'F', 'damage': 0.7238095238095238}, {'name': 'FR', 'damage': 0.13866666666666666}, {'name': 'M', 'damage': 0.006122895254756178}, {'name': 'F', 'damage': 0.16279069767441862}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'B', 'damage': 0.01951219512195122}, {'name': 'B', 'damage': 0.14222222222222222}, {'name': 'B', 'damage': 1}], 'v2': [{'name': 'F', 'damage': 0.7238095238095238}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 11.922214158995871}, {'v2': 53.54185745883422}]","[{'v1': [39.94064807359752, 0.2688405957676471]}, {'v2': [84.37887560238373, 25.737178674856594]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-13.389047489079363,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 43.52410030780756}, {'v2': 50.0}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37850246843705, 25.14663630413268]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-11.068431276999608,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 34.94746580961317}, {'v2': 50.0}]","[{'v1': [39.557079087786214, 0.27811204160679315]}, {'v2': [84.37848767387293, 25.123221610698778]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.282988970668568,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 50.0}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-14.451101403579694,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.490811939309065}, {'v2': 50.0}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.048919627008297,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.490811939309065}, {'v2': 53.54185745883422}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': ['B', 'B']}, {'v2': ['F', 'M', 'FL', 'FR', 'F', 'F']}]","[{'v1': ['B', 'B']}, {'v2': ['F', 'FL']}]",1,1.7,2.1,,"[{'v1': [{'name': 'B', 'damage': 0.08}, {'name': 'B', 'damage': 0.021080368906455864}]}, {'v2': [{'name': 'F', 'damage': 0.09523809523809523}, {'name': 'M', 'damage': 0.0029156644070267514}, {'name': 'FL', 'damage': 1}, {'name': 'FR', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'F', 'damage': 0.31215161649944256}]}]","{'v1': [{'name': 'B', 'damage': 0.08}, {'name': 'B', 'damage': 0.021080368906455864}], 'v2': [{'name': 'F', 'damage': 0.31215161649944256}, {'name': 'FL', 'damage': 1}]}"
"[{'v1': 27.19929229715945}, {'v2': 53.54185745883422}]","[{'v1': [38.97548509175355, 0.29217005316156985]}, {'v2': [84.37860397775859, 25.307290556924556]}]","[{'v1': ['B', 'MR', 'B']}, {'v2': ['F', 'FR', 'M', 'F', 'FR', 'F']}]","[{'v1': ['B', 'MR', 'B']}, {'v2': ['F', 'FR', 'F']}]",1,1.8,2.1,,"[{'v1': [{'name': 'B', 'damage': 0.044444444444444446}, {'name': 'MR', 'damage': 0.027777777777777776}, {'name': 'B', 'damage': 1}]}, {'v2': [{'name': 'F', 'damage': 0.7047619047619048}, {'name': 'FR', 'damage': 0.08533333333333333}, {'name': 'M', 'damage': 0.01428675559443108}, {'name': 'F', 'damage': 0.29457364341085274}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'B', 'damage': 0.044444444444444446}, {'name': 'MR', 'damage': 0.027777777777777776}, {'name': 'B', 'damage': 1}], 'v2': [{'name': 'F', 'damage': 0.7047619047619048}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 13.267810017357961}, {'v2': 53.54185745883422}]","[{'v1': [39.55776449795767, 0.27809547420036146]}, {'v2': [84.37905949019839, 26.028209675860996]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-11.48931453653762,2.1,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
