speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 40.00965440057798}, {'v2': 53.36357969588736}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.987773845846535,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 53.36357969588736}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-4.684726687251652,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 34.9226059146191}, {'v2': 49.598892604636625}]","[{'v1': [5.566422623072047, 6.107779262545143]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.484155038020946,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 53.36357969588736}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 24.052427315929595]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.30738854701193,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 50.0}, {'v2': 53.36357969588736}]","[{'v1': [6.87438714550318, 4.819511509517557]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.514688242393238,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 35.588867336316405}, {'v2': 31.017373491117638}]","[{'v1': [5.823252676588549, 5.85481683865717]}, {'v2': [60.31953003024536, 22.526253325191142]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-11.058954399173865,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 50.0}, {'v2': 50.0}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.789088090201194,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 50.0}]","[{'v1': [5.550302499641103, 6.123656631414674]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.515349104474731,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 53.36357969588736}]","[{'v1': [5.842537690875114, 5.835822239341985]}, {'v2': [60.31953003024536, 24.23525765237293]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.39219787666073,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 53.36357969588736}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-4.906924020687294,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 47.68787535484192}, {'v2': 50.0}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 25.850778397304072]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.08737101825362,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 50.0}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.466869935411551,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 48.99243528724588}, {'v2': 53.36357969588736}]","[{'v1': [5.662724710376287, 6.01292739806743]}, {'v2': [60.31953003024536, 24.555151549612575]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-6.895174905666504,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 43.19285384668939}, {'v2': 53.36357969588736}]","[{'v1': [6.073611861549485, 5.608227837863821]}, {'v2': [60.31953003024536, 23.415224352700886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.125880124111862,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 50.0}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.525946794568108,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 44.97079627694312}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-8.619698478046777,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 44.60921691519154}, {'v2': 53.36357969588736}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.27842932681527,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 50.0}, {'v2': 50.0}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 25.02507086789136]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.192752987876396,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 44.888097889983094}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-6.369325970021996,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 53.36357969588736}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 24.5318211500886]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.22013661713605,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 53.36357969588736}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 25.614127833019804]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.9165892028658496,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 53.36357969588736}]","[{'v1': [6.204825215126578, 5.478990439386235]}, {'v2': [60.31953003024536, 25.614127833019804]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.11710844425799,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 14.606547088123705}, {'v2': 40.436390939157164}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 26.427121476674625]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-9.902951344686024,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 40.00965440057798}, {'v2': 53.36357969588736}]","[{'v1': [5.963047844607026, 5.717126860145724]}, {'v2': [60.31953003024536, 25.614127833019804]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.173335275626468,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 38.236293755072644}, {'v2': 53.36357969588736}]","[{'v1': [5.843304139451718, 5.835067332791647]}, {'v2': [60.31953003024536, 25.614127833019804]}]","[{'v1': ['B', 'B', 'M']}, {'v2': ['F', 'FR', 'M', 'F', 'FR', 'F']}]","[{'v1': ['B', 'B', 'M']}, {'v2': ['F', 'FR', 'F']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'B', 'damage': 0.10666666666666667}, {'name': 'B', 'damage': 1}, {'name': 'M', 'damage': 0.002332531525621401}]}, {'v2': [{'name': 'F', 'damage': 0.7047619047619048}, {'name': 'FR', 'damage': 0.128}, {'name': 'M', 'damage': 0.004665063051242802}, {'name': 'F', 'damage': 0.046511627906976744}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'B', 'damage': 0.10666666666666667}, {'name': 'B', 'damage': 1}, {'name': 'M', 'damage': 0.002332531525621401}], 'v2': [{'name': 'F', 'damage': 0.7047619047619048}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 38.236293755072644}, {'v2': 18.1970834115425}]","[{'v1': [6.494440047485915, 5.193736945940149]}, {'v2': [60.31953003024536, 25.614127833019804]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-12.19484437656255,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 38.236293755072644}, {'v2': 53.36357969588736}]","[{'v1': [5.843304139451718, 5.835067332791647]}, {'v2': [60.31953003024536, 27.23906600097738]}]","[{'v1': ['MR', 'B', 'MR', 'M']}, {'v2': ['F', 'F', 'M', 'FR', 'F', 'FL', 'FR', 'FL', 'F', 'F']}]","[{'v1': ['MR', 'MR']}, {'v2': ['FR', 'F', 'F', 'FR', 'F', 'FL']}]",1,1.7,1.7,,"[{'v1': [{'name': 'MR', 'damage': 0.10810810810810811}, {'name': 'B', 'damage': 0.003755868544600939}, {'name': 'MR', 'damage': 0.02359882005899705}, {'name': 'M', 'damage': 0.0005831328814053503}]}, {'v2': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.041666666666666664}, {'name': 'M', 'damage': 0.021867483052700636}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.9645390070921985}, {'name': 'FR', 'damage': 0.4693333333333333}, {'name': 'FL', 'damage': 0.042666666666666665}, {'name': 'F', 'damage': 0.6124031007751938}, {'name': 'F', 'damage': 0.022598870056497175}]}]","{'v1': [{'name': 'MR', 'damage': 0.02359882005899705}, {'name': 'MR', 'damage': 0.10810810810810811}], 'v2': [{'name': 'FR', 'damage': 0.4693333333333333}, {'name': 'F', 'damage': 0.6124031007751938}, {'name': 'F', 'damage': 1}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.9645390070921985}]}"
