speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 40.00965440057798}, {'v2': 53.36357969588736}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.961552755172682,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 29.0}, {'v2': 28.0}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.770370110907499,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 11.0}, {'v2': 30.0}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-6.448897047005885,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 17.0}, {'v2': 10.0}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-3.864681296137556,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 13.0}, {'v2': 44.0}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-11.889214824916262,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 38.0}, {'v2': 49.0}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': ['B', 'M', 'B']}, {'v2': ['F', 'FR', 'M', 'F', 'FR', 'F', 'F']}]","[{'v1': ['B', 'M', 'B']}, {'v2': ['F', 'F', 'FR', 'FR', 'F']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'B', 'damage': 0.015810276679841896}, {'name': 'M', 'damage': 0.00029156644070267514}, {'name': 'B', 'damage': 0.003755868544600939}]}, {'v2': [{'name': 'F', 'damage': 1}, {'name': 'FR', 'damage': 0.8}, {'name': 'M', 'damage': 0.013120489831620381}, {'name': 'F', 'damage': 0.31007751937984496}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 0.013559322033898305}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'B', 'damage': 0.015810276679841896}, {'name': 'M', 'damage': 0.00029156644070267514}, {'name': 'B', 'damage': 0.003755868544600939}], 'v2': [{'name': 'F', 'damage': 0.31007751937984496}, {'name': 'F', 'damage': 1}, {'name': 'FR', 'damage': 0.8}, {'name': 'FR', 'damage': 1}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 44.0}, {'v2': 42.0}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-8.308556175051166,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 22.0}, {'v2': 46.0}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-5.97199587123807,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 46.0}, {'v2': 15.0}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-19.31248621965273,1.7,,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 13.0}, {'v2': 16.0}]","[{'v1': [7.206522594769423, 4.492377721414705]}, {'v2': [60.31953003024536, 24.66128186651614]}]","[{'v1': ['FR', 'MR']}, {'v2': ['F']}]","[{'v1': ['FR', 'MR']}, {'v2': ['F']}]",1,1.7,1.7,,"[{'v1': [{'name': 'FR', 'damage': 0.14933333333333335}, {'name': 'MR', 'damage': 0.011799410029498525}]}, {'v2': [{'name': 'F', 'damage': 0.4057971014492754}]}]","{'v1': [{'name': 'FR', 'damage': 0.14933333333333335}, {'name': 'MR', 'damage': 0.011799410029498525}], 'v2': [{'name': 'F', 'damage': 0.4057971014492754}]}"
