v1,v2,score
20.0,20.0,-20.71
20.0,20.0,-20.71
20.0,20.0,-20.71
10.0,28.9566866716553,-20.31
10.0,28.9566866716553,-20.31
10.0,28.9566866716553,-20.31
10.0,28.9566866716553,-20.31
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.0,10.0,-16.28
10.062424563876235,29.02170603248903,-15.27
10.062424563876235,29.02170603248903,-15.27
10.062424563876235,29.02170603248903,-15.27
10.062424563876235,29.02170603248903,-15.27
10.062424563876235,29.02170603248903,-15.27
10.062424563876235,29.02170603248903,-15.27
10.062424563876235,29.02170603248903,-15.27
