v1,v2,score
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,20.0,-19.66
20.0,13.0,-19.23
20.0,13.0,-19.23
20.0,13.0,-19.23
20.0,13.0,-19.23
20.0,13.0,-19.23
20.0,13.0,-19.23
20.0,13.0,-19.23
20.0,13.0,-19.23
20.0,13.0,-19.23
20.0,13.0,-19.23
20.0,13.0,-19.23
20.0,13.0,-19.23
11.0,14.0,-16.6
