v1,v2,score
20.0,20.0,-28.58
20.0,20.0,-28.58
20.0,20.0,-28.58
20.0,20.0,-28.58
20.0,20.0,-28.58
20.0,20.0,-28.58
18.0,18.0,-27.61
18.0,18.0,-27.61
18.0,18.0,-27.61
18.0,18.0,-27.61
18.0,18.0,-27.61
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
12.0,12.0,-25.81
