v1,v2,score
20.0,20.0,-28.33
20.0,20.0,-28.33
20.0,20.0,-28.33
20.0,20.0,-28.33
20.0,20.0,-28.07
20.0,20.0,-28.07
18.0,18.0,-27.15
18.0,18.0,-27.15
18.0,18.0,-27.15
18.0,18.0,-27.15
18.0,18.0,-27.15
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
12.0,12.0,-25.53
