v1,v2,score
20.0,20.0,-28.45
20.0,20.0,-28.45
20.0,20.0,-28.45
20.0,20.0,-28.45
20.0,20.0,-28.37
20.0,20.0,-28.37
18.0,18.0,-27.19
18.0,18.0,-27.19
18.0,18.0,-27.19
18.0,18.0,-27.19
18.0,18.0,-27.19
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
12.0,12.0,-25.6
