v1,v2,score
20.0,20.0,-13.62
20.0,20.0,-13.62
20.0,20.0,-13.62
20.0,20.0,-13.62
20.0,20.0,-13.45
20.0,20.0,-13.45
20.0,20.0,-13.45
20.0,20.0,-13.45
20.0,20.0,-13.45
20.0,20.0,-13.45
20.0,20.0,-13.45
20.0,20.0,-13.45
16.0,16.0,-13.29
16.0,16.0,-13.29
16.0,16.0,-13.29
16.0,16.0,-13.29
16.0,16.0,-13.29
16.0,16.0,-13.29
16.0,16.0,-13.29
16.0,16.0,-13.29
16.0,16.0,-13.29
16.0,16.0,-13.29
16.0,16.0,-12.9
16.0,16.0,-12.9
16.0,16.0,-12.9
16.0,16.0,-12.9
16.0,16.0,-12.9
16.0,16.0,-12.9
16.0,16.0,-12.9
16.0,16.0,-12.9
