speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 53.555216765893334}, {'v2': 0.0}]","[{'v1': [64.07786365886055, 13.37170479671181]}, {'v2': [17.644925442755795, 7.626369861121569]}]","[{'v1': ['F', 'FL', 'FL', 'M', 'F', 'F']}, {'v2': ['MR', 'MR']}]","[{'v1': ['F', 'FL', 'FL', 'F']}, {'v2': ['MR', 'MR']}]",1,1.8,2.4,,"[{'v1': [{'name': 'F', 'damage': 0.0761904761904762}, {'name': 'FL', 'damage': 0.128}, {'name': 'FL', 'damage': 0.11347517730496454}, {'name': 'M', 'damage': 0.004373496610540126}, {'name': 'F', 'damage': 0.022598870056497175}, {'name': 'F', 'damage': 0.2987736900780379}]}, {'v2': [{'name': 'MR', 'damage': 0.04504504504504504}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.0761904761904762}, {'name': 'FL', 'damage': 0.128}, {'name': 'FL', 'damage': 0.11347517730496454}, {'name': 'F', 'damage': 0.2987736900780379}], 'v2': [{'name': 'MR', 'damage': 0.04504504504504504}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 50.0}, {'v2': 0.0}]","[{'v1': [64.07786365886055, 13.37170479671181]}, {'v2': [17.644925442755795, 7.626369861121569]}]","[{'v1': ['F', 'FL', 'FL', 'M', 'F', 'F']}, {'v2': ['MR', 'MR']}]","[{'v1': ['F', 'FL', 'FL', 'F']}, {'v2': ['MR', 'MR']}]",1,1.8,2.4,,"[{'v1': [{'name': 'F', 'damage': 0.0761904761904762}, {'name': 'FL', 'damage': 0.11733333333333333}, {'name': 'FL', 'damage': 0.11347517730496454}, {'name': 'M', 'damage': 0.0034987972884321017}, {'name': 'F', 'damage': 0.022598870056497175}, {'name': 'F', 'damage': 0.2853957636566332}]}, {'v2': [{'name': 'MR', 'damage': 0.036036036036036036}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.0761904761904762}, {'name': 'FL', 'damage': 0.11733333333333333}, {'name': 'FL', 'damage': 0.11347517730496454}, {'name': 'F', 'damage': 0.2853957636566332}], 'v2': [{'name': 'MR', 'damage': 0.036036036036036036}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 50.0}, {'v2': 0.0}]","[{'v1': [64.07786365886055, 13.37170479671181]}, {'v2': [17.644925442755795, 7.626369861121569]}]","[{'v1': ['F', 'FL', 'FL', 'M', 'F', 'F']}, {'v2': ['MR', 'MR']}]","[{'v1': ['F', 'FL', 'FL', 'F']}, {'v2': ['MR', 'MR']}]",1,1.8,2.4,,"[{'v1': [{'name': 'F', 'damage': 0.09523809523809523}, {'name': 'FL', 'damage': 0.11733333333333333}, {'name': 'FL', 'damage': 0.1702127659574468}, {'name': 'M', 'damage': 0.0034987972884321017}, {'name': 'F', 'damage': 0.01807909604519774}, {'name': 'F', 'damage': 0.2809364548494983}]}, {'v2': [{'name': 'MR', 'damage': 0.036036036036036036}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.09523809523809523}, {'name': 'FL', 'damage': 0.11733333333333333}, {'name': 'FL', 'damage': 0.1702127659574468}, {'name': 'F', 'damage': 0.2809364548494983}], 'v2': [{'name': 'MR', 'damage': 0.036036036036036036}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 50.0}, {'v2': 10.0}]","[{'v1': [64.07658811614496, 11.325018732543647]}, {'v2': [17.644925442755795, 7.626369861121569]}]","[{'v1': ['F', 'F', 'M', 'FR', 'F', 'FL', 'FR', 'FL', 'F']}, {'v2': ['MR', 'M', 'B', 'B', 'B']}]","[{'v1': ['F', 'FR', 'F', 'F', 'F']}, {'v2': ['MR', 'B', 'B']}]",1,2.1,2.4,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.2916666666666667}, {'name': 'M', 'damage': 0.015453021357241782}, {'name': 'FR', 'damage': 0.48226950354609927}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.0851063829787234}, {'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'FL', 'damage': 0.05333333333333334}, {'name': 'F', 'damage': 0.5503875968992248}]}, {'v2': [{'name': 'MR', 'damage': 0.08333333333333333}, {'name': 'M', 'damage': 0.01370362271302573}, {'name': 'B', 'damage': 0.04552845528455285}, {'name': 'B', 'damage': 1}, {'name': 'B', 'damage': 1}]}]","{'v1': [{'name': 'F', 'damage': 0.2916666666666667}, {'name': 'FR', 'damage': 0.48226950354609927}, {'name': 'F', 'damage': 0.5503875968992248}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'MR', 'damage': 0.08333333333333333}, {'name': 'B', 'damage': 1}, {'name': 'B', 'damage': 1}]}"
"[{'v1': 50.0}, {'v2': 10.0}]","[{'v1': [64.07658811614496, 11.325018732543647]}, {'v2': [17.644925442755795, 7.626369861121569]}]","[{'v1': ['F', 'F', 'M', 'FR', 'F', 'FL', 'FR', 'FL', 'F', 'F']}, {'v2': ['MR', 'M', 'B', 'B', 'B', 'B']}]","[{'v1': ['F', 'F', 'F']}, {'v2': ['B', 'B']}]",1,2.2,2.4,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.25}, {'name': 'M', 'damage': 0.01428675559443108}, {'name': 'FR', 'damage': 0.028368794326241134}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.0851063829787234}, {'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'FL', 'damage': 0.064}, {'name': 'F', 'damage': 0.5891472868217055}, {'name': 'F', 'damage': 0.004519774011299435}]}, {'v2': [{'name': 'MR', 'damage': 0.05555555555555555}, {'name': 'M', 'damage': 0.014578322035133756}, {'name': 'B', 'damage': 0.032520325203252036}, {'name': 'B', 'damage': 0.8168642951251647}, {'name': 'B', 'damage': 0.72}, {'name': 'B', 'damage': 0.003755868544600939}]}]","{'v1': [{'name': 'F', 'damage': 0.5891472868217055}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.72}, {'name': 'B', 'damage': 0.8168642951251647}]}"
"[{'v1': 49.04740311919016}, {'v2': 10.0}]","[{'v1': [64.07658811614496, 11.325018732543647]}, {'v2': [17.644925442755795, 7.626369861121569]}]","[{'v1': ['F', 'F', 'M', 'F', 'FL', 'FR', 'FL', 'F', 'F']}, {'v2': ['B', 'B', 'B', 'M']}]","[{'v1': ['F', 'F', 'F']}, {'v2': ['B', 'B']}]",1,2.2,2.4,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.16666666666666666}, {'name': 'M', 'damage': 0.013995189153728407}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.14184397163120568}, {'name': 'FR', 'damage': 0.021333333333333333}, {'name': 'FL', 'damage': 0.08533333333333333}, {'name': 'F', 'damage': 0.6434108527131783}, {'name': 'F', 'damage': 0.004519774011299435}]}, {'v2': [{'name': 'B', 'damage': 0.026016260162601626}, {'name': 'B', 'damage': 0.7957839262187089}, {'name': 'B', 'damage': 0.7466666666666667}, {'name': 'M', 'damage': 0.013412056272323055}]}]","{'v1': [{'name': 'F', 'damage': 0.6434108527131783}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.7466666666666667}, {'name': 'B', 'damage': 0.7957839262187089}]}"
"[{'v1': 29.597667783075966}, {'v2': 10.0}]","[{'v1': [64.07658811614496, 11.325018732543647]}, {'v2': [17.644925442755795, 7.626369861121569]}]","[{'v1': ['F', 'F', 'M', 'F', 'F']}, {'v2': ['B', 'B', 'B', 'B']}]","[{'v1': ['F', 'F']}, {'v2': ['B', 'B', 'B']}]",1,2.2,2.4,,"[{'v1': [{'name': 'F', 'damage': 0.7047619047619048}, {'name': 'F', 'damage': 0.041666666666666664}, {'name': 'M', 'damage': 0.0020409650849187258}, {'name': 'F', 'damage': 0.10077519379844961}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'B', 'damage': 0.013008130081300813}, {'name': 'B', 'damage': 1}, {'name': 'B', 'damage': 0.36444444444444446}, {'name': 'B', 'damage': 0.18972332015810275}]}]","{'v1': [{'name': 'F', 'damage': 0.7047619047619048}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.36444444444444446}, {'name': 'B', 'damage': 0.18972332015810275}, {'name': 'B', 'damage': 1}]}"
"[{'v1': 50.0}, {'v2': 10.0}]","[{'v1': [64.07658811614496, 11.325018732543647]}, {'v2': [17.644925442755795, 7.626369861121569]}]","[{'v1': ['F', 'F', 'M', 'FR', 'F', 'FL', 'FR', 'FL', 'F', 'F']}, {'v2': ['MR', 'M', 'B', 'B', 'B', 'B']}]","[{'v1': ['F', 'F', 'F']}, {'v2': ['MR', 'B', 'B', 'B']}]",1,2.0,2.4,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.25}, {'name': 'M', 'damage': 0.013412056272323055}, {'name': 'FR', 'damage': 0.028368794326241134}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.0851063829787234}, {'name': 'FR', 'damage': 0.021333333333333333}, {'name': 'FL', 'damage': 0.042666666666666665}, {'name': 'F', 'damage': 0.6201550387596899}, {'name': 'F', 'damage': 0.004519774011299435}]}, {'v2': [{'name': 'MR', 'damage': 0.027777777777777776}, {'name': 'M', 'damage': 0.016327720679349806}, {'name': 'B', 'damage': 0.03902439024390244}, {'name': 'B', 'damage': 0.7536231884057971}, {'name': 'B', 'damage': 0.7555555555555555}, {'name': 'B', 'damage': 0.003755868544600939}]}]","{'v1': [{'name': 'F', 'damage': 0.6201550387596899}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'MR', 'damage': 0.027777777777777776}, {'name': 'B', 'damage': 0.03902439024390244}, {'name': 'B', 'damage': 0.7536231884057971}, {'name': 'B', 'damage': 0.7555555555555555}]}"
"[{'v1': 24.700139486375214}, {'v2': 12.614254929429404}]","[{'v1': [64.07658811614496, 11.325018732543647]}, {'v2': [17.644925442755795, 7.626369861121569]}]","[{'v1': ['F', 'F', 'M', 'F', 'F']}, {'v2': ['B', 'B', 'B']}]","[{'v1': ['F', 'F']}, {'v2': ['B', 'B', 'B']}]",1,2.2,2.4,,"[{'v1': [{'name': 'F', 'damage': 0.5333333333333333}, {'name': 'F', 'damage': 0.041666666666666664}, {'name': 'M', 'damage': 0.0008746993221080254}, {'name': 'F', 'damage': 0.007751937984496124}, {'name': 'F', 'damage': 0.9052396878483835}]}, {'v2': [{'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.26666666666666666}, {'name': 'B', 'damage': 0.15810276679841898}]}]","{'v1': [{'name': 'F', 'damage': 0.5333333333333333}, {'name': 'F', 'damage': 0.9052396878483835}], 'v2': [{'name': 'B', 'damage': 0.0065040650406504065}, {'name': 'B', 'damage': 0.26666666666666666}, {'name': 'B', 'damage': 0.15810276679841898}]}"
"[{'v1': 50.0}, {'v2': 10.0}]","[{'v1': [64.07658811614496, 11.325018732543647]}, {'v2': [17.644925442755795, 7.626369861121569]}]","[{'v1': ['F', 'F', 'M', 'FR', 'F', 'FL', 'FR', 'FL', 'F', 'F']}, {'v2': ['MR', 'M', 'B', 'B', 'B', 'B']}]","[{'v1': ['F', 'F', 'F']}, {'v2': ['B', 'B']}]",1,2.2,2.4,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.25}, {'name': 'M', 'damage': 0.015161454916539106}, {'name': 'FR', 'damage': 0.028368794326241134}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.11347517730496454}, {'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'FL', 'damage': 0.064}, {'name': 'F', 'damage': 0.5813953488372093}, {'name': 'F', 'damage': 0.004519774011299435}]}, {'v2': [{'name': 'MR', 'damage': 0.027777777777777776}, {'name': 'M', 'damage': 0.015161454916539106}, {'name': 'B', 'damage': 0.03902439024390244}, {'name': 'B', 'damage': 0.8748353096179183}, {'name': 'B', 'damage': 0.8177777777777778}, {'name': 'B', 'damage': 0.003755868544600939}]}]","{'v1': [{'name': 'F', 'damage': 0.5813953488372093}, {'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'B', 'damage': 0.8177777777777778}, {'name': 'B', 'damage': 0.8748353096179183}]}"
